iteration,loss
1,6.408218
2,6.232672
3,6.099667
4,5.977726
5,5.904085
6,5.858407
7,5.820508
8,5.765962
9,5.731020
10,5.680981
11,5.631683
12,5.578536
13,5.528545
14,5.500393
15,5.431219
16,5.369961
17,5.327944
18,5.277977
19,5.235930
20,5.185751
21,5.149766
22,5.083415
23,5.037202
24,4.996362
25,4.930101
26,4.889086
27,4.836862
28,4.790332
29,4.739586
30,4.696211
31,4.652255
32,4.582333
33,4.525094
34,4.478488
35,4.432425
36,4.390725
37,4.348205
38,4.285044
39,4.253761
40,4.199766
41,4.140056
42,4.126729
43,4.073063
44,4.008290
45,3.959726
46,3.931807
47,3.894396
48,3.817857
49,3.801688
50,3.767771
51,3.699131
52,3.656518
53,3.641410
54,3.588646
55,3.552248
56,3.509514
57,3.454862
58,3.433285
59,3.418848
60,3.356284
61,3.337852
62,3.282871
63,3.273389
64,3.232977
65,3.197699
66,3.170706
67,3.129220
68,3.124360
69,3.077940
70,3.055198
71,3.009733
72,2.957382
73,2.943295
74,2.944245
75,2.882061
76,2.904831
77,2.832534
78,2.841099
79,2.838403
80,2.788705
81,2.778886
82,2.727724
83,2.726135
84,2.737097
85,2.655462
86,2.682570
87,2.637590
88,2.621727
89,2.625786
90,2.557144
91,2.621870
92,2.521717
93,2.584318
94,2.532279
95,2.461032
96,2.507291
97,2.483688
98,2.408680
99,2.426883
100,2.421878
101,2.384083
102,2.392205
103,2.376849
104,2.361259
105,2.360822
106,2.339301
107,2.348327
108,2.269473
109,2.377104
110,2.330508
111,2.290500
112,2.257588
113,2.227896
114,2.272513
115,2.265783
116,2.201967
117,2.216784
118,2.153247
119,2.162504
120,2.203260
121,2.129699
122,2.143345
123,2.193660
124,2.141733
125,2.116426
126,2.065295
127,2.037611
128,2.062673
129,2.074781
130,2.076044
131,2.068851
132,2.009900
133,1.995285
134,1.990229
135,1.976672
136,1.981301
137,1.975845
138,2.059561
139,1.955005
140,1.983587
141,2.007156
142,1.956174
143,1.944880
144,1.953459
145,1.937594
146,1.931556
147,1.913504
148,1.851158
149,1.947612
150,1.924249
151,1.900952
152,1.896359
153,1.874532
154,1.908146
155,1.890659
156,1.849837
157,1.809220
158,1.868218
159,1.813978
160,1.866356
161,1.815636
162,1.789277
163,1.848350
164,1.797922
165,1.776762
166,1.768059
167,1.793794
168,1.758263
169,1.725974
170,1.730376
171,1.736072
172,1.762583
173,1.686138
174,1.705452
175,1.699956
176,1.747358
177,1.751016
178,1.701654
179,1.711495
180,1.711659
181,1.643014
182,1.653643
183,1.718268
184,1.633399
185,1.671267
186,1.710039
187,1.673523
188,1.690412
189,1.707787
190,1.698586
191,1.652830
192,1.699020
193,1.602158
194,1.630293
195,1.607036
196,1.634497
197,1.654021
198,1.575704
199,1.635295
200,1.639896
201,1.623496
202,1.638901
203,1.602997
204,1.629670
205,1.653233
206,1.593894
207,1.632428
208,1.616511
209,1.531457
210,1.596745
211,1.612944
212,1.585956
213,1.621608
214,1.571157
215,1.504661
216,1.638235
217,1.612225
218,1.539959
219,1.560219
220,1.588986
221,1.593991
222,1.573949
223,1.602345
224,1.532214
225,1.501060
226,1.571258
227,1.568267
228,1.532775
229,1.543524
230,1.560791
231,1.475909
232,1.534990
233,1.557056
234,1.543652
235,1.539550
236,1.482092
237,1.599354
238,1.546332
239,1.528228
240,1.541750
241,1.563771
242,1.496150
243,1.451030
244,1.517274
245,1.545879
246,1.528714
247,1.483611
248,1.466073
249,1.456840
250,1.507414
251,1.401765
252,1.531859
253,1.469406
254,1.464208
255,1.468557
256,1.465882
257,1.422036
258,1.431744
259,1.424274
260,1.518639
261,1.452460
262,1.444021
263,1.491788
264,1.550839
265,1.514694
266,1.425104
267,1.436315
268,1.540053
269,1.412933
270,1.481716
271,1.521809
272,1.468797
273,1.536690
274,1.406442
