POLYMER_USED,DRUG,CONCENTRATION,CAPACITY
polyPhOx,Aspirin,10,1.865e-1
polyPhOx,Aspirin,25,3.42e-1
polyPhOx,Aspirin,50,6.528e-1
polyPhOx,Aspirin,100,1.71e+0
polyPhOx,Aspirin,200,3.43e+0
polyPhOx,Ibuprofen,25,9.728e+0
polyPhOx,Ibuprofen,50,1.278e+1
polyPhOx,Ibuprofen,100,2.537e+1
polyPhOx,Ibuprofen,200,3.223e+1
polyPhOx,Metoclopramide,10,7.254e-2
polyPhOx,Metoclopramide,25,1.347e-1
polyPhOx,Metoclopramide,50,2.902e-1
polyPhOx,Metoclopramide,100,8.912e-1
polyPhOx,Metoclopramide,200,2.207e+0
polyPhOx,Pyramidone,10,1.347e-1
polyPhOx,Pyramidone,25,1.554e-1
polyPhOx,Pyramidone,50,1.658e-1
polyPhOx,Pyramidone,100,3.938e-1
polyPhOx,Pyramidone,200,8.187e-1
polyPhOx,Oestradiol,10,3.243e+0
polyPhOx,Oestradiol,25,5.341e+0
polyPhOx,Oestradiol,50,6.676e+0
polyPhOx,Oestradiol,100,2.956e+1
polyPhOx,Oestradiol,200,5.646e+1
polyPhOx,Indomethacin,10,1.144e+0
polyPhOx,Indomethacin,25,1.907e+0
polyPhOx,Indomethacin,50,4.768e+0
polyPhOx,Indomethacin,100,7.439e+0
polyPhOx,Indomethacin,200,1.984e+1
