POLYMER_USED,DRUG,WATER_PH,CONCENTRATION,CAPACITY,SOURCE
Graphene oxide (GO),Atenolol,2,60,116,https://link.springer.com/article/10.1007/s41742-025-00825-4
Graphene oxide (GO),Propranolol,1,60,67,https://link.springer.com/article/10.1007/s41742-025-00825-4
Graphene oxide,Doxorubicin,3.4,350,1428.57,https://link.springer.com/article/10.1007/s41742-025-00825-4
Magnetic graphene oxide functionalized with nitricacid(NDMGO),Ciprofloxacin,9,50,334.78,https://link.springer.com/article/10.1007/s41742-025-00825-4
GO/sodium alginate hydrogels,Ciprofloxacin,4,50,86.12,https://link.springer.com/article/10.1007/s41742-025-00825-4
GO/calcium alginate fibers,Ciprofloxacin,5.9,60,66.25,https://link.springer.com/article/10.1007/s41742-025-00825-4
Porous graphene oxide-chitosan aerogel (PGO-CS),Tetracycline,9,2000,1470,https://link.springer.com/article/10.1007/s41742-025-00825-4
Fe3O4@SiO2 Chitosan/GO,Tetracycline,6,50,32.5,https://link.springer.com/article/10.1007/s41742-025-00825-4
Graphene oxide,Tetracycline,7,20,323,https://link.springer.com/article/10.1007/s41742-025-00825-4
NDMGO,Tetracycline,4,50,400,https://link.springer.com/article/10.1007/s41742-025-00825-4
Thiourea-dioxide-reduced magnetic graphene oxide (TDMGO),Tetracycline,4,100,1233,https://link.springer.com/article/10.1007/s41742-025-00825-4
Diethylenetriaminepenta-acetic acid-functionalized magnetic graphene oxide (DDMGO),Tetracycline,3,50,110,https://link.springer.com/article/10.1007/s41742-025-00825-4
Diethylenetriaminepenta-acetic acid-functionalized magnetic graphene oxide (DDMGO),Ciprofloxacin,8,50,300,https://link.springer.com/article/10.1007/s41742-025-00825-4
Pristine graphene,Sulfamethoxazole,2,100,239,https://link.springer.com/article/10.1007/s41742-025-00825-4
Graphene oxide nanoparticles,Metformin,6.26,300,122.61,https://link.springer.com/article/10.1007/s41742-025-00825-4
Graphene oxide,Ketoprofen,4,50,16.45,https://link.springer.com/article/10.1007/s41742-025-00825-4
Graphene oxide-ionic liquids,Ketoprofen,8,50,87.88,https://link.springer.com/article/10.1007/s41742-025-00825-4
Nitrogen-doped reduced graphene oxide/Fe3O4 nanocomposite,Ketoprofen,7,20,468,https://link.springer.com/article/10.1007/s41742-025-00825-4
Nitrogen-doped reduced graphene oxide/Fe3O4 nanocomposite,Norfloxacin,10,20,158,https://link.springer.com/article/10.1007/s41742-025-00825-4
Magnetic genipin-crosslinked chitosan/graphene oxide-SO3H composite,Ibuprofen,6,10,138,https://link.springer.com/article/10.1007/s41742-025-00825-4
Magnetically modified graphene nanoplatelets,Amoxicillin,5,10,14.10,https://link.springer.com/article/10.1007/s41742-025-00825-4
Graphene oxide,Carbamazepine,2.0,50,28.24,https://link.springer.com/article/10.1007/s41742-025-00825-4
Graphene oxide-ionic liquids,Carbamazepine,2.0,50,61.88,https://link.springer.com/article/10.1007/s41742-025-00825-4
Fe3O4 nanoparticle,Levofloxacin,6.5,20,6.848,https://link.springer.com/article/10.1007/s41742-025-00825-4
NiFe2O4/biochar composites,Levofloxacin,6,40,172,https://link.springer.com/article/10.1007/s41742-025-00825-4
Biochar/MgFe2O4,Levofloxacin,5,100,115,https://link.springer.com/article/10.1007/s41742-025-00825-4
Magnetic NPs coated with Rhamnolipids (Rh-cMNP),Acetaminophen,5,60,96,https://link.springer.com/article/10.1007/s41742-025-00825-4
Magnetic mesoporous silica microspheres,Acetaminophen,5,150,311,https://link.springer.com/article/10.1007/s41742-025-00825-4
"Iron, copper oxides composite particles (Fe/Cu oxides CPs)",Norfloxacin,8.12,15,1.64,https://link.springer.com/article/10.1007/s41742-025-00825-4
"Iron, copper oxides composite particles (Fe/Cu oxides CPs)",Ofloxacin,8.87,15,1.26,https://link.springer.com/article/10.1007/s41742-025-00825-4
MgFe2O4,Chlorpyrifos,10,20,4461,https://link.springer.com/article/10.1007/s41742-025-00825-4
MgO,Linezolid antibiotic,10,100,123.45,https://link.springer.com/article/10.1007/s41742-025-00825-4
ZnO-MgO nanocomposites,Linezolid antibiotic,10,100,140.28,https://link.springer.com/article/10.1007/s41742-025-00825-4
