POLYMER_USED,DRUG,WATER_PH,CONCENTRATION,CAPACITY,SOURCE
Polyacrylonitrile/Polyaniline (PAN/PANI),Chloroxylenol,7,50,429.18,(Zhao et al. 2019)
Polyacrylonitrile/Polyaniline (PAN/PANI),Ibuprofen,7,50,613.50,(Zhao et al. 2019)
Polyacrylonitrile/Polyaniline (PAN/PANI),N,N-diethyl-meta-toluamide,7,50,384.61,(Zhao et al. 2019)
Polypyrrole functionalized Calotropis gigantea fiber (PPy-O-CGF),Enrofloxacin,6,100,78.27,(Duan et al. 2019)
Polypyrrole functionalized Calotropis gigantea fiber (PPy-O-CGF),Ciprofloxacin,6,100,76.61,(Duan et al. 2019)
Polypyrrole functionalized Calotropis gigantea fiber (PPy-O-CGF),Norfloxacin,6,100,68.90,(Duan et al. 2019)
PPy-PANI copolymer,Metronidazole,6.2,10,63.84,(Aarab et al. 2020)
Poly(aniline-co-pyrrole),Phenylbutazone,6,0.1,238.8,(Nascimento et al. 2024)
Poly(aniline-co-pyrrole),Ceftiofur,6,0.1,13.66,(Nascimento et al. 2024)
Poly(aniline-co-pyrrole),Prednisolone,6,0.1,35.62,(Nascimento et al. 2024)
Functional Polyaniline/multiwalled carbon nanotube composite (PANI/MWCNT),Meloxicam,2,0.1,221.2,(Dutra et al. 2018)
Polyaniline-deposited cellulose fiber composite,Meloxicam,2,2,169.5,(Avelar Dutra et al. 2017)
Poly(aniline-co-pyrrole)/multi-walled carbon nanotubes,Anti-inflammatory,6,0.1,159.9,(do Nascimento et al. 2018)
Poly(aniline-co-pyrrole)/multi-walled carbon nanotubes,Phenylbutazone,6,0.1,172.7,(do Nascimento et al. 2018)
Pristine polypyrrole,Diclofenac,6,1.5,221.23,(Carneiro Pires et al. 2023)
Pristine polypyrrole,Moxidectin,6,1.5,87.46,(Carneiro Pires et al. 2023)
Polypyrrole/Zinc oxide (PPy/ZnO),Paracetamol,7,5,25.51,(Saha et al. 2023)
Amberlite-XAD-16 polymer,Cephalexin,3,25,116,(Dutta et al. 1999)
Amberlite-XAD-4 polymer,Cephalexin,3,25,357,(Dutta et al. 1999)
Poly(styrene-block-acrylic acid) deblock copolymer/Fe3O4 magnetic,Ciprofloxacin,7,5,15.52,(Mohammadi et al. 2020)
Polyaniline/Graphene Oxide Based Nanocomposites,Ciprofloxacin,6,100,106.38,(no ref listed/not visible)
Polyaniline-coated magnetic nanoparticles,Diclofenac,4,25,34.43,(da Cunha et al. 2023)
Fe3O4 coated polymer (clay: chitosan) composite,Atenolol,10,40,15.6,(Arya and Philip 2016)
Fe3O4 coated polymer (clay: chitosan) composite,Ciprofloxacin,7,40,39.1,(Arya and Philip 2016)
Fe3O4 coated polymer (clay: chitosan) composite,Gemfibrozil,4,40,24.8,(Arya and Philip 2016)
Chitosan-carbon nanotubes,Amoxicillin,7,40,23.1,(Khumalo et al. 2024)
Chitosan-carbon nanotubes,Ciprofloxacin,7,40,23.7,(Khumalo et al. 2024)
Chitosan-carbon nanotubes,Sulfamethoxazole,7,40,25.17,(Khumalo et al. 2024)
Poly(acrylic acid) grafted chitosan/Graphite oxide,Dorzolamide,3,100,334,(Kyzas et al. 2014)
