POLYMER_USED,DRUG,CONCENTRATION,CAPACITY
polyPhOx,Aspirin,10,1.865e-1
polyPhOx,Aspirin,25,3.42e-1
polyPhOx,Aspirin,50,6.528e-1
polyPhOx,Aspirin,100,1.71e+0
polyPhOx,Aspirin,200,3.43e+0
polyPhOx,Ibuprofen,25,9.728e+0
polyPhOx,Ibuprofen,50,1.278e+1
polyPhOx,Ibuprofen,100,2.537e+1
polyPhOx,Ibuprofen,200,3.223e+1
polyPhOx,Metoclopramide,10,7.254e-2
polyPhOx,Metoclopramide,25,1.347e-1
polyPhOx,Metoclopramide,50,2.902e-1
polyPhOx,Metoclopramide,100,8.912e-1
polyPhOx,Metoclopramide,200,2.207e+0
polyPhOx,Pyramidone,10,1.347e-1
polyPhOx,Pyramidone,25,1.554e-1
polyPhOx,Pyramidone,50,1.658e-1
polyPhOx,Pyramidone,100,3.938e-1
polyPhOx,Pyramidone,200,8.187e-1
polyPhOx,Oestradiol,10,3.243e+0
polyPhOx,Oestradiol,25,5.341e+0
polyPhOx,Oestradiol,50,6.676e+0
polyPhOx,Oestradiol,100,2.956e+1
polyPhOx,Oestradiol,200,5.646e+1
polyPhOx,Indomethacin,10,1.144e+0
polyPhOx,Indomethacin,25,1.907e+0
polyPhOx,Indomethacin,50,4.768e+0
polyPhOx,Indomethacin,100,7.439e+0
polyPhOx,Indomethacin,200,1.984e+1
C-megl,Piroxicam,25,22.87
C-megl,Ampicillin,25,0
C-megl,Doxycycline,25,0
C-megl,Lomefloxacin,25,0
C-megl,Fluconazole,25,0
C-megl,Moxidectin,25,15.13
C-megl,2.4D,25,24.38
C-megl,Thymol Blue,25,24.17
C-megl,Methylene Violet,25,0
C-mA,Piroxicam,25,0
C-mA,Ampicillin,25,0
C-mA,Doxycycline,25,7.91
C-mA,Lomefloxacin,25,23.67
C-mA,Fluconazole,25,0
C-mA,Moxidectin,25,22.69
C-mA,2.4D,25,0
C-mA,Thymol Blue,25,0
C-mA,Methylene Violet,25,24.44
C-lys,Piroxicam,25,13.78
C-lys,Ampicillin,25,13.44
C-lys,Doxycycline,25,6.75
C-lys,Lomefloxacin,25,0
C-lys,Fluconazole,25,0
C-lys,Moxidectin,25,13.17
C-lys,2.4D,25,5.081e+1
C-lys,Thymol Blue,25,22.63
C-lys,Methylene Violet,25,0
C-ph,Piroxicam,25,0
C-ph,Ampicillin,25,4.20
C-ph,Doxycycline,25,13.26
C-ph,Lomefloxacin,25,0
C-ph,Fluconazole,25,0
C-ph,Moxidectin,25,5.6
C-ph,2.4D,25,3.46
C-ph,Thymol Blue,25,14.73
C-ph,Methylene Violet,25,24.46
C-megl,Piroxicam,25,2.372e+1
C-megl,Piroxicam,50,4.719e+1
C-megl,Piroxicam,100,9.364e+1
C-megl,Moxidectin,25,1.521e+1
C-megl,Moxidectin,50,3.042e+1
C-megl,Moxidectin,100,6.104e+1
C-megl,2.4D,25,2.219e+1
C-megl,2.4D,50,4.514e+1
C-megl,2.4D,100,9.127e+1
C-megl,Thymol Blue,25,2.438e+1
C-megl,Thymol Blue,50,4.701e+1
C-megl,Thymol Blue,100,9.403e+1
