POLYMER_USED,DRUG,WATER_PH,CONCENTRATION,CAPACITY
*CC(C)(C(=O)OCCO)*,Clc1cc(Cl)ccc1OCC(=O)O,6.5,25.0,3.46
*CC(C)(C(=O)OCCO)*,CC1([C@@H](N2[C@H](S1)[C@@H](C2=O)NC(=O)[C@@H](C3=CC=CC=C3)N)C(=O)O)C,6.5,25.0,4.2
*CC(C)(C(=O)OCCO)*,C[C@@H]1[C@H]2[C@@H]([C@H]3[C@@H](C(=O)C(=C([C@]3(C(=O)C2=C(C4=C1C=CC=C4O)O)O)O)C(=O)N)N(C)C)O,6.5,25.0,13.26
*CC(C)(C(=O)OCCO)*,C1=CC(=C(C=C1F)F)C(CN2C=NC=N2)(CN3C=NC=N3)O,6.5,25.0,0.0
*CC(C)(C(=O)OCCO)*,CCN1C=C(C(=O)C2=CC(=C(C(=C21)F)N3CCNC(C3)C)F)C(=O)O,6.5,25.0,0.0
*CC(C)(C(=O)OCCO)*,CN(C)C1=CC2=C(C=C1)N=C3C=CC(=O)C=C3S2,6.5,25.0,24.46
*CC(C)(C(=O)OCCO)*,C[C@@H]\1C/C(=C/C[C@@H]2C[C@@H](C[C@@]3(O2)C/C(=N\OC)/[C@@H]([C@H](O3)/C(=C/C(C)C)/C)C)OC(=O)[C@@H]4C=C([C@H]([C@@H]5[C@]4(/C(=C/C=C1)/CO5)O)O)C)/C,6.5,25.0,5.6
*CC(C)(C(=O)OCCO)*,CN1C(=C(C2=CC=CC=C2S1(=O)=O)O)C(=O)NC3=CC=CC=N3,6.5,25.0,0.0
*CC(C)(C(=O)OCCO)*,CC1=CC(=C(C=C1C2(C3=CC=CC=C3S(=O)(=O)O2)C4=CC(=C(C=C4C)O)C(C)C)C(C)C)O,6.5,25.0,14.73
*CC(=C)C(=O)O*,C1=CC=C(C(=C1)CC(=O)O)NC2=C(C=CC=C2Cl)Cl,6.0,2.0,0.0717
*CC(=C)C(=O)O*,,6.0,2.0,0.07
*CC(=C)C(=O)O*,C[C@@H](C1=CC2=C(C=C1)C=C(C=C2)OC)C(=O)O,6.0,2.0,0.0719
*C=CC1=CC=CC=N1*,C1=CC=C(C(=C1)CC(=O)O)NC2=C(C=CC=C2Cl)Cl,6.0,2.0,0.0728
*C=CC1=CC=CC=N1*,,6.0,2.0,0.0789
*C=CC1=CC=CC=N1*,C[C@@H](C1=CC2=C(C=C1)C=C(C=C2)OC)C(=O)O,6.0,2.0,0.0798
*N(C(=O)c1ccccc1)CC*,CC(=O)OC1=CC=CC=C1C(=O)O,8.2,10.0,0.1865
*N(C(=O)c1ccccc1)CC*,CC(=O)OC1=CC=CC=C1C(=O)O,,15.0,0.23833
*N(C(=O)c1ccccc1)CC*,CC(=O)OC1=CC=CC=C1C(=O)O,,20.0,0.29017
*N(C(=O)c1ccccc1)CC*,CC(=O)OC1=CC=CC=C1C(=O)O,8.2,25.0,0.342
*N(C(=O)c1ccccc1)CC*,CC(=O)OC1=CC=CC=C1C(=O)O,,33.33333,0.4456
*N(C(=O)c1ccccc1)CC*,CC(=O)OC1=CC=CC=C1C(=O)O,,41.66667,0.5492
*N(C(=O)c1ccccc1)CC*,CC(=O)OC1=CC=CC=C1C(=O)O,8.2,50.0,0.6528
*N(C(=O)c1ccccc1)CC*,CC(=O)OC1=CC=CC=C1C(=O)O,,66.66667,1.0052
*N(C(=O)c1ccccc1)CC*,CC(=O)OC1=CC=CC=C1C(=O)O,,83.33333,1.3576
*N(C(=O)c1ccccc1)CC*,CC(=O)OC1=CC=CC=C1C(=O)O,8.2,100.0,1.71
*N(C(=O)c1ccccc1)CC*,CC(=O)OC1=CC=CC=C1C(=O)O,,133.33333,2.28333
*N(C(=O)c1ccccc1)CC*,CC(=O)OC1=CC=CC=C1C(=O)O,,166.66667,2.85667
*N(C(=O)c1ccccc1)CC*,CC(=O)OC1=CC=CC=C1C(=O)O,8.2,200.0,3.43
*N(C(=O)c1ccccc1)CC*,CC(C)CC1=CC=C(C=C1)C(C)C(=O)O,8.2,25.0,9.728
*N(C(=O)c1ccccc1)CC*,CC(C)CC1=CC=C(C=C1)C(C)C(=O)O,,33.33333,10.74533
*N(C(=O)c1ccccc1)CC*,CC(C)CC1=CC=C(C=C1)C(C)C(=O)O,,41.66667,11.76267
*N(C(=O)c1ccccc1)CC*,CC(C)CC1=CC=C(C=C1)C(C)C(=O)O,8.2,50.0,12.78
*N(C(=O)c1ccccc1)CC*,CC(C)CC1=CC=C(C=C1)C(C)C(=O)O,,66.66667,16.97667
*N(C(=O)c1ccccc1)CC*,CC(C)CC1=CC=C(C=C1)C(C)C(=O)O,,83.33333,21.17333
*N(C(=O)c1ccccc1)CC*,CC(C)CC1=CC=C(C=C1)C(C)C(=O)O,8.2,100.0,25.37
*N(C(=O)c1ccccc1)CC*,CC(C)CC1=CC=C(C=C1)C(C)C(=O)O,,133.33333,27.65667
*N(C(=O)c1ccccc1)CC*,CC(C)CC1=CC=C(C=C1)C(C)C(=O)O,,166.66667,29.94333
*N(C(=O)c1ccccc1)CC*,CC(C)CC1=CC=C(C=C1)C(C)C(=O)O,8.2,200.0,32.23
*N(C(=O)c1ccccc1)CC*,CC1=C(C2=C(N1C(=O)C3=CC=C(C=C3)Cl)C=CC(=C2)OC)CC(=O)O,8.2,10.0,1.144
*N(C(=O)c1ccccc1)CC*,CC1=C(C2=C(N1C(=O)C3=CC=C(C=C3)Cl)C=CC(=C2)OC)CC(=O)O,,15.0,1.39833
*N(C(=O)c1ccccc1)CC*,CC1=C(C2=C(N1C(=O)C3=CC=C(C=C3)Cl)C=CC(=C2)OC)CC(=O)O,,20.0,1.65267
*N(C(=O)c1ccccc1)CC*,CC1=C(C2=C(N1C(=O)C3=CC=C(C=C3)Cl)C=CC(=C2)OC)CC(=O)O,8.2,25.0,1.907
*N(C(=O)c1ccccc1)CC*,CC1=C(C2=C(N1C(=O)C3=CC=C(C=C3)Cl)C=CC(=C2)OC)CC(=O)O,,33.33333,2.86067
*N(C(=O)c1ccccc1)CC*,CC1=C(C2=C(N1C(=O)C3=CC=C(C=C3)Cl)C=CC(=C2)OC)CC(=O)O,,41.66667,3.81433
*N(C(=O)c1ccccc1)CC*,CC1=C(C2=C(N1C(=O)C3=CC=C(C=C3)Cl)C=CC(=C2)OC)CC(=O)O,8.2,50.0,4.768
*N(C(=O)c1ccccc1)CC*,CC1=C(C2=C(N1C(=O)C3=CC=C(C=C3)Cl)C=CC(=C2)OC)CC(=O)O,,66.66667,5.65833
*N(C(=O)c1ccccc1)CC*,CC1=C(C2=C(N1C(=O)C3=CC=C(C=C3)Cl)C=CC(=C2)OC)CC(=O)O,,83.33333,6.54867
*N(C(=O)c1ccccc1)CC*,CC1=C(C2=C(N1C(=O)C3=CC=C(C=C3)Cl)C=CC(=C2)OC)CC(=O)O,8.2,100.0,7.439
*N(C(=O)c1ccccc1)CC*,CC1=C(C2=C(N1C(=O)C3=CC=C(C=C3)Cl)C=CC(=C2)OC)CC(=O)O,,133.33333,11.57267
*N(C(=O)c1ccccc1)CC*,CC1=C(C2=C(N1C(=O)C3=CC=C(C=C3)Cl)C=CC(=C2)OC)CC(=O)O,,166.66667,15.70633
*N(C(=O)c1ccccc1)CC*,CC1=C(C2=C(N1C(=O)C3=CC=C(C=C3)Cl)C=CC(=C2)OC)CC(=O)O,8.2,200.0,19.84
*N(C(=O)c1ccccc1)CC*,CCN(CC)CCNC(=O)C1=CC(=C(C=C1OC)N)Cl,8.2,10.0,0.07254
*N(C(=O)c1ccccc1)CC*,CCN(CC)CCNC(=O)C1=CC(=C(C=C1OC)N)Cl,,15.0,0.09326
*N(C(=O)c1ccccc1)CC*,CCN(CC)CCNC(=O)C1=CC(=C(C=C1OC)N)Cl,,20.0,0.11398
*N(C(=O)c1ccccc1)CC*,CCN(CC)CCNC(=O)C1=CC(=C(C=C1OC)N)Cl,8.2,25.0,0.1347
*N(C(=O)c1ccccc1)CC*,CCN(CC)CCNC(=O)C1=CC(=C(C=C1OC)N)Cl,,33.33333,0.18653
*N(C(=O)c1ccccc1)CC*,CCN(CC)CCNC(=O)C1=CC(=C(C=C1OC)N)Cl,,41.66667,0.23837
*N(C(=O)c1ccccc1)CC*,CCN(CC)CCNC(=O)C1=CC(=C(C=C1OC)N)Cl,8.2,50.0,0.2902
*N(C(=O)c1ccccc1)CC*,CCN(CC)CCNC(=O)C1=CC(=C(C=C1OC)N)Cl,,66.66667,0.49053
*N(C(=O)c1ccccc1)CC*,CCN(CC)CCNC(=O)C1=CC(=C(C=C1OC)N)Cl,,83.33333,0.69087
*N(C(=O)c1ccccc1)CC*,CCN(CC)CCNC(=O)C1=CC(=C(C=C1OC)N)Cl,8.2,100.0,0.8912
*N(C(=O)c1ccccc1)CC*,CCN(CC)CCNC(=O)C1=CC(=C(C=C1OC)N)Cl,,133.33333,1.3298
*N(C(=O)c1ccccc1)CC*,CCN(CC)CCNC(=O)C1=CC(=C(C=C1OC)N)Cl,,166.66667,1.7684
*N(C(=O)c1ccccc1)CC*,CCN(CC)CCNC(=O)C1=CC(=C(C=C1OC)N)Cl,8.2,200.0,2.207
*N(C(=O)c1ccccc1)CC*,C[C@]12CC[C@H]3[C@H]([C@@H]1CC[C@@H]2O)CCC4=C3C=CC(=C4)O,8.2,10.0,3.243
*N(C(=O)c1ccccc1)CC*,C[C@]12CC[C@H]3[C@H]([C@@H]1CC[C@@H]2O)CCC4=C3C=CC(=C4)O,,15.0,3.94233
*N(C(=O)c1ccccc1)CC*,C[C@]12CC[C@H]3[C@H]([C@@H]1CC[C@@H]2O)CCC4=C3C=CC(=C4)O,,20.0,4.64167
*N(C(=O)c1ccccc1)CC*,C[C@]12CC[C@H]3[C@H]([C@@H]1CC[C@@H]2O)CCC4=C3C=CC(=C4)O,8.2,25.0,5.341
*N(C(=O)c1ccccc1)CC*,C[C@]12CC[C@H]3[C@H]([C@@H]1CC[C@@H]2O)CCC4=C3C=CC(=C4)O,,33.33333,5.786
