POLYMER_USED,DRUG,drug_logp,poly_topological_surface_area_sum_fullpolymerfeaturizer,sa_score_H,drug_homo_eV,drug_lumo_eV,drug_charge_at_WATER_PH
*CCCCCCCCCOC(=O)NCCOCCCCCCCNC(=O)OCCCCCOC(=O)O*,CN(C)C(=N)N=C(N)N,-1.243829999999999,121.42,2.5554125217499877,-9.07377256884184,-5.411900500373996,3
*[Si](*)(Cl)CCCCCCOCCOc1ccc(/N=N/c2ccc(C)c([N+](=O)[O-])c2)cc1,CN(C)C(=N)N=C(N)N,-1.243829999999999,86.32,2.9193917429349696,-9.017262602049257,-5.205264863569949,3
*/C=C/c1cc([N+](=O)[O-])c(C(C)(C)c2ccc(C(C)(C)c3ccc(C(*)=O)cc3)cc2)cc1-c1ccccc1,CN(C)C(=N)N=C(N)N,-1.243829999999999,60.21,3.1546604951887103,-9.233456593438303,-5.4205813126705324,3
*C(=O)C(OCCCCCCCOc1ccc(C(*)=O)cc1)c1ccc(OCC)cc1,CN(C)C(=N)N=C(N)N,-1.243829999999999,61.83,2.811341618814211,-9.026282554639721,-5.4164085259622805,3
*NC(=O)SSC(=O)NCCCNC(=O)Nc1ccc(C(=O)NCCCCCCCCNC(=O)Oc2ccc(*)cc2)cc1,CN(C)C(=N)N=C(N)N,-1.243829999999999,166.76,2.8133819661658706,-9.440298784272604,-5.971025424036503,3
*CCC(CC)CCCOC(=O)NCCSSCCCCCNC(=O)OCCCCO*,CN(C)C(=N)N=C(N)N,-1.243829999999999,85.89000000000001,2.8065286933716767,-9.359322789953245,-5.850386755406475,3
*Oc1ccc(OC(=O)c2ccc(NC(=O)CCCCCCCCCCCCCCCCCCC(=O)Oc3ccc(/C=C/c4ccc(*)cc4)cc3)cc2)cc1,CN(C)C(=N)N=C(N)N,-1.243829999999999,90.92999999999999,2.733793486397806,-9.51136992163354,-6.132759633431569,3
*CC(CC(=O)O*)C(=O)OC(C#N)c1ccc(/C=C/c2ccc(Br)cc2)cc1,CN(C)C(=N)N=C(N)N,-1.243829999999999,76.39000000000001,3.1977221606806303,-9.073772568841807,-5.411900500373957,3
*CCCCCCCNC(=O)CSCCCC(=O)NCCCCCCCCCNC(=O)c1ccc(C(=O)N*)cc1,CN(C)C(=N)N=C(N)N,-1.243829999999999,116.4,2.421709285360871,-9.440298784272695,-5.97102542403658,3
*Oc1ccc(NC(=O)c2ccc(Oc3ccc(C(=O)c4ccc(C(*)=S)cc4)cc3)cc2)cc1,CN(C)C(=N)N=C(N)N,-1.243829999999999,64.63,2.1483717336572283,-9.44030024114351,-5.971024195113287,3
*Nc1ccc(COc2ccc(OC(=O)c3ccc(NC(=O)c4ccc(*)cc4)cc3)cc2)cc1,CN(C)C(=N)N=C(N)N,-1.243829999999999,76.66,1.849047295398119,-9.51137125915496,-6.132763545342896,3
*CCCCCCCCNC(=O)C(C)CNC(=O)OC(CSC(=O)O*)OCC,CN(C)C(=N)N=C(N)N,-1.243829999999999,102.96000000000001,3.566695516189986,-9.35930861217381,-5.8503839755322105,3
*Oc1ccc(Oc2ccc(/N=N/c3ccc(C(=O)Oc4ccc(C(*)=O)cc4)cc3)cc2)cc1,CN(C)C(=N)N=C(N)N,-1.243829999999999,86.55000000000001,2.3316996992442736,-9.359319824479941,-5.850384341399567,3
*NC(=O)Nc1ccc(Sc2ccc(NC(*)=O)cc2)cc1,CN(C)C(=N)N=C(N)N,-1.243829999999999,70.23,2.131018629399536,-9.41795108209838,-5.999920159373546,3
