POLYMER_USED,DRUG,poly_logp_H,drug_logp,poly_topological_surface_area_sum_fullpolymerfeaturizer,sa_score_H,poly_homo_eV_H,poly_lumo_eV_H,drug_homo_eV,drug_lumo_eV,poly_charge_at_WATER_PH_H,drug_charge_at_WATER_PH
*CC(*)(CC(=O)OCCCN(C#N)CCC)c1ccc(/N=N/c2ccc(C(=O)Oc3ccc([N+](=O)[O-])cc3)cc2)cc1,CC(=O)OC1=CC=CC=C1C(=O)O,6.8494,1.3101,147.4900,3.4716,-8.8445,-7.9180,-11.3751,-7.8683,1.0000,-1
*NC(CON(CCOC(=O)C(=O)O)C)C(*)(C(=O)OCCCCCCC)C(C)(C)C,CC(=O)OC1=CC=CC=C1C(=O)O,1.9808,1.3101,114.4000,3.9138,-8.6158,-6.5162,-11.4778,-7.8688,1.0000,-1
*NC(C)CCCOc1ccccc1OC(=O)c1ccc(S(=O)(=O)c2ccc(*)cc2)c(SCCCC)c1,CC(=O)OC1=CC=CC=C1C(=O)O,6.1370,1.3101,81.7000,2.9359,-7.9576,-7.1457,-11.3751,-7.8683,1.0000,-1
*CCN(CCCOC(=O)c1ccc(/N=N/c2ccc(C(=O)Oc3ccc(O*)cc3)cc2)cc1)C(=O)OC(C)C,CC(=O)OC1=CC=CC=C1C(=O)O,6.4406,1.3101,116.0900,2.6720,-8.6339,-7.4988,-11.3751,-7.8683,1.0000,-1
*CC(CO)COC(=O)CCCCCCCCCCC(=O)OCCCN(*)C,CC(=O)OC1=CC=CC=C1C(=O)O,3.2117,1.3101,76.0700,2.7831,-9.6915,-6.4499,-11.4778,-7.8688,1.0000,-1
*CCCCCCCCOC(=O)C(C)OC(=O)NC(=O)CCOCCCCCCCCC(=O)OCCCCCCCOc1ccc(C(=O)Oc2ccc(N3CN(*)C3=O)cc2)cc1,CC(=O)OC1=CC=CC=C1C(=O)O,8.9478,1.3101,176.3100,3.8498,-10.4567,-7.3657,-11.3751,-7.8683,1.0000,-1
*NC(*)CCCCCCCCOc1ccc(C(=O)Oc2c(/C=N/c3ccc(OCC)cc3)cc2)cc1,CC(=O)OC1=CC=CC=C1C(=O)O,6.5367,1.3101,69.1500,2.7293,-8.7836,-7.4245,-11.3751,-7.8683,1.0000,-1
*NC(CCC)C(OC(=O)OCC)CC(=O)OCCCCCOc1ccc(C(C)(C)c2ccccc2)c(OCCCCCNC(*)CCCC)c1,CC(=O)OC1=CC=CC=C1C(=O)O,8.4929,1.3101,104.3500,3.8083,-9.3792,-6.5974,-11.3751,-7.8683,2.0000,-1
*NC(C)S(=O)c1cccc(Cc2ccc(S(*)(=O)=O)cc2)c1,CC(=O)OC1=CC=CC=C1C(=O)O,1.6600,1.3101,63.2400,3.9577,-10.2082,-7.3924,-11.4778,-7.8688,1.0000,-1
*NC(CCCCCCNC(=O)CCCCCCCCC(=O)N*)CCCCCCCC,CC(=O)OC1=CC=CC=C1C(=O)O,5.7371,1.3101,70.2300,2.7370,-9.7606,-5.6931,-11.4778,-7.8688,1.0000,-1
