POLYMER_USED,DRUG,poly_logp_H,drug_logp,poly_topological_surface_area_sum_fullpolymerfeaturizer,sa_score_H,poly_homo_eV_H,poly_lumo_eV_H,drug_homo_eV,drug_lumo_eV,poly_charge_at_WATER_PH_H,drug_charge_at_WATER_PH
*CC(=O)NCCCCCCCCCCCNC(=O)Nc1ccc(CCc2ccc(NC(=O)CCCCCC(=O)N*)cc2)cc1,C1C[C@H](N(C1)C(=O)[C@H](CCCCN)N[C@@H](CCC2=CC=CC=C2)C(=O)O)C(=O)O,6.6146,1.2352,128.4300,2.4672,-10.0143,-6.4169,-10.0050,-6.9780,-1.0000,1
*CCCCCCCCCC(=O)NNC(=O)CCCSCCCCCC(=O)N*,C1C[C@H](N(C1)C(=O)[C@H](CCCCN)N[C@@H](CCC2=CC=CC=C2)C(=O)O)C(=O)O,3.8336,1.2352,87.3000,2.3405,-9.7259,-6.5295,-9.8986,-6.9287,-2.0000,1
*C(=O)NCCCCNC(=O)c1ccc(C(=O)Nc2ccc(NC(=O)CCCCCCCC(=O)Nc3ccc(O*)cc3)cc2)cc1,C1C[C@H](N(C1)C(=O)[C@H](CCCCN)N[C@@H](CCC2=CC=CC=C2)C(=O)O)C(=O)O,5.2084,1.2352,154.7300,2.4711,-7.7297,-6.8114,-7.3438,-6.6076,-4.0000,1
*CCCCCCCCCCCCCCCOC(=O)CCCCCCC(=O)OCc1ccc(/C=C/c2ccc(C(=O)O*)cc2)cc1,C1C[C@H](N(C1)C(=O)[C@H](CCCCN)N[C@@H](CCC2=CC=CC=C2)C(=O)O)C(=O)O,10.5734,1.2352,78.9000,2.5524,-10.6317,-7.7808,-7.4636,-6.9039,-1.0000,1
*CCCCCCCCCCCCCNC(=O)c1ccc(NC(=O)CCCCC(=O)N*)cC(=O)Oc1,C1C[C@H](N(C1)C(=O)[C@H](CCCCN)N[C@@H](CCC2=CC=CC=C2)C(=O)O)C(=O)O,4.4563,1.2352,113.6000,2.9886,-8.3671,-7.4127,-9.7577,-6.8967,-2.0000,1
*CC(OC)C(COCOC(=O)c1ccc(/C=N/c2ccc(C(=O)O*)cc2)cc1)CCC,C1C[C@H](N(C1)C(=O)[C@H](CCCCN)N[C@@H](CCC2=CC=CC=C2)C(=O)O)C(=O)O,4.7175,1.2352,83.4200,3.3903,-8.3620,-7.4239,-9.8987,-6.9198,-1.0000,1
*CCC(C)NC(=O)CCCCS(=O)(=O)CCCCCCCCC(=O)N*,C1C[C@H](N(C1)C(=O)[C@H](CCCCN)N[C@@H](CCC2=CC=CC=C2)C(=O)O)C(=O)O,2.7022,1.2352,92.3400,2.7476,-10.6230,-5.8296,-9.9898,-7.1247,-2.0000,1
*CCCCCCCCCCCOC(=O)CC(CCCCCCCCCCCCCCCCCCCCCCCC(=O)O*)c1ccc(/C=C/c2ccc(C#N)cc2)cc1,C1C[C@H](N(C1)C(=O)[C@H](CCCCN)N[C@@H](CCC2=CC=CC=C2)C(=O)O)C(=O)O,16.3333,1.2352,76.3900,3.5244,-10.5082,-7.6156,-9.8287,-6.9635,-1.0000,1
*CCCCCNC(=O)CCCC(=O)NCCCCCCNC(=O)Nc1ccc(C(=O)N*)cc1,C1C[C@H](N(C1)C(=O)[C@H](CCCCN)N[C@@H](CCC2=CC=CC=C2)C(=O)O)C(=O)O,3.0603,1.2352,128.4300,2.1582,-10.3519,-7.0147,-9.8614,-7.1435,-2.0000,1
*CCCCCCC(F)NC(=O)NCCCCCSCCCNC(=O)C(=O)N*,C1C[C@H](N(C1)C(=O)[C@H](CCCCN)N[C@@H](CCC2=CC=CC=C2)C(=O)O)C(=O)O,2.4467,1.2352,99.3300,3.2084,-7.5349,-5.4610,-9.7973,-6.9429,-2.0000,1
