POLYMER_USED,DRUG,drug_logp,poly_topological_surface_area_sum_fullpolymerfeaturizer,sa_score_H,drug_homo_eV,drug_lumo_eV,drug_charge_at_WATER_PH
*CCCCOC(=O)C(C)C(=O)OCCCCCCOc1ccc(C(=O)O*)cc1OC,CN(C)C(=N)N=C(N)N,-1.243829999999999,97.36000000000001,2.7059420712201074,-9.073772568841768,-5.411900500373901,3
*Nc1ccc(NC(=O)CCCC(=O)NNC(*)=O)cc1,CN(C)C(=N)N=C(N)N,-1.243829999999999,99.32999999999998,2.1193360262531087,-9.233456593438072,-5.420581312670329,3
*C(=O)C(O)C1CCCC(=O)S(=O)(=O)C1*,CN(C)C(=N)N=C(N)N,-1.243829999999999,88.50999999999999,4.334455545449508,-9.440298784272635,-5.971025424036553,3
*NC(=O)CCCCCCC(=O)NCCCCNC(=O)CCCCCC(*)=O,CN(C)C(=N)N=C(N)N,-1.243829999999999,104.37,2.2466124188630285,-9.440300241138893,-5.971024195099633,3
*c1ccc(NC(=O)C(COC)C(=O)/C=C/C(=O)Nc2ccc(CNC(*)=O)c(C)c2)cc1,CN(C)C(=N)N=C(N)N,-1.243829999999999,113.6,3.0995590291636663,-9.359322789936613,-5.8503867553665145,3
*CC(CC(=O)O*)C(=O)OC(=O)c1ccc(OCCCCCCC)cc1,CN(C)C(=N)N=C(N)N,-1.243829999999999,78.90000000000002,2.594531564621084,-9.440293576195016,-5.971017288703425,3
*/C=C/CCCCCCCCCCCCCOC(=O)CCCCCCC(=O)NC(=O)CCC(=O)OCCCC(=O)CCCCCC(=O)OC1CC(*)CC1,CN(C)C(=N)N=C(N)N,-1.243829999999999,142.14,3.376753439078316,-9.530339760552389,-6.0977576691381,3
*CCCCCCCNC(=O)CSCCCC(=O)NCCCCCCCNC(=O)N2C(=O)N(*)CC2,CN(C)C(=N)N=C(N)N,-1.243829999999999,110.85000000000001,2.6087833128829683,-9.440293580768374,-5.971012680898957,3
*Nc1ccc(COC(=O)CCCCCC(=O)Nc2ccc(NC(=O)c3ccc(C(*)=O)cc3)cc2)cc1,CN(C)C(=N)N=C(N)N,-1.243829999999999,113.6,2.162216706177267,-9.440295790512552,-5.971014121742638,3
*NC(=O)Nc1ccc(Sc2ccc(NC(*)=O)cc2)cc1,CN(C)C(=N)N=C(N)N,-1.243829999999999,70.23,2.131018629399536,-9.440301846726225,-5.971025660820323,3
