POLYMER_USED,DRUG,WATER_PH,CONCENTRATION,PREDICTED_CAPACITY
*C(=O)C(OCCCCCCCOc1ccc(C(*)=O)cc1)c1ccc(OCC)cc1,CN(C)C(=N)N=C(N)N,8.2,12.5,4.3092484
*Oc1ccc(OC(=O)c2ccc(NC(=O)CCCCCCCCCCCCCCCCCCC(=O)Oc3ccc(/C=C/c4ccc(*)cc4)cc3)cc2)cc1,CN(C)C(=N)N=C(N)N,8.2,12.5,6.315225e-06
*/C=C/c1cc([N+](=O)[O-])c(C(C)(C)c2ccc(C(C)(C)c3ccc(C(*)=O)cc3)cc2)cc1-c1ccccc1,CN(C)C(=N)N=C(N)N,8.2,12.5,4.5763024e-08
*CCC(CC)CCCOC(=O)NCCSSCCCCCNC(=O)OCCCCO*,CN(C)C(=N)N=C(N)N,8.2,12.5,1.6185016e-08
*NC(=O)SSC(=O)NCCCNC(=O)Nc1ccc(C(=O)NCCCCCCCCNC(=O)Oc2ccc(*)cc2)cc1,CN(C)C(=N)N=C(N)N,8.2,12.5,7.664226e-09
*CCCCCCCCCOC(=O)NCCOCCCCCCCNC(=O)OCCCCCOC(=O)O*,CN(C)C(=N)N=C(N)N,8.2,12.5,7.380235e-13
*[Si](*)(Cl)CCCCCCOCCOc1ccc(/N=N/c2ccc(C)c([N+](=O)[O-])c2)cc1,CN(C)C(=N)N=C(N)N,8.2,12.5,2.0730531e-13
*Nc1ccc(COc2ccc(OC(=O)c3ccc(NC(=O)c4ccc(*)cc4)cc3)cc2)cc1,CN(C)C(=N)N=C(N)N,8.2,12.5,101.98058
*Oc1ccc(NC(=O)c2ccc(Oc3ccc(C(=O)c4ccc(C(*)=S)cc4)cc3)cc2)cc1,CN(C)C(=N)N=C(N)N,8.2,12.5,78.46933
*NC(=O)Nc1ccc(Sc2ccc(NC(*)=O)cc2)cc1,CN(C)C(=N)N=C(N)N,8.2,12.5,5.3164344
*Oc1ccc(Oc2ccc(/N=N/c3ccc(C(=O)Oc4ccc(C(*)=O)cc4)cc3)cc2)cc1,CN(C)C(=N)N=C(N)N,8.2,12.5,5.04093
*CCCCCCCCNC(=O)C(C)CNC(=O)OC(CSC(=O)O*)OCC,CN(C)C(=N)N=C(N)N,8.2,12.5,2.631458e-06
*CC(CC(=O)O*)C(=O)OC(C#N)c1ccc(/C=C/c2ccc(Br)cc2)cc1,CN(C)C(=N)N=C(N)N,8.2,12.5,1.09922516e-10
*CCCCCCCNC(=O)CSCCCC(=O)NCCCCCCCCCNC(=O)c1ccc(C(=O)N*)cc1,CN(C)C(=N)N=C(N)N,8.2,12.5,1.102815e-12
