iteration,loss
1,6.394462
2,6.215643
3,6.079558
4,5.962653
5,5.885481
6,5.830261
7,5.785782
8,5.745070
9,5.687355
10,5.641149
11,5.584274
12,5.539422
13,5.488728
14,5.438519
15,5.383358
16,5.348148
17,5.302063
18,5.228007
19,5.187665
20,5.130494
21,5.119811
22,5.048552
23,4.989252
24,4.944535
25,4.895770
26,4.850577
27,4.803927
28,4.763392
29,4.710176
30,4.634380
31,4.598611
32,4.538367
33,4.487717
34,4.448508
35,4.386001
36,4.359896
37,4.292704
38,4.237509
39,4.181267
40,4.134107
41,4.088029
42,4.057844
43,3.994993
44,3.958755
45,3.912785
46,3.865835
47,3.837862
48,3.799466
49,3.741643
50,3.707240
51,3.657528
52,3.617085
53,3.563904
54,3.533396
55,3.475421
56,3.449571
57,3.404000
58,3.378739
59,3.295182
60,3.269093
61,3.230406
62,3.209850
63,3.185207
64,3.126751
65,3.082247
66,3.040054
67,3.013243
68,3.000268
69,2.996875
70,2.903461
71,2.897884
72,2.885543
73,2.826841
74,2.820806
75,2.777741
76,2.737114
77,2.725761
78,2.688221
79,2.639314
80,2.640524
81,2.608746
82,2.613853
83,2.568712
84,2.546667
85,2.529693
86,2.515610
87,2.498261
88,2.454410
89,2.423286
90,2.396103
91,2.440163
92,2.335576
93,2.367132
94,2.298167
95,2.329901
96,2.314163
97,2.352782
98,2.216996
99,2.264682
100,2.261899
101,2.208413
102,2.182909
103,2.168113
104,2.168753
105,2.164180
106,2.117876
107,2.094549
108,2.082707
109,2.067579
110,2.090840
111,2.094979
112,2.067245
113,2.073001
114,2.039971
115,2.000783
116,1.987718
117,1.936220
118,1.963840
119,1.926290
120,1.955561
121,1.990477
122,1.937272
123,1.922030
124,1.921851
125,1.892746
126,1.868805
127,1.892295
128,1.860560
129,1.813880
130,1.886883
131,1.813428
132,1.908516
133,1.772819
134,1.789830
135,1.816524
136,1.766735
137,1.788051
138,1.807918
139,1.761839
140,1.745812
141,1.775896
142,1.702451
143,1.741352
144,1.694898
145,1.739912
146,1.616117
147,1.751163
148,1.709448
149,1.640575
150,1.666606
151,1.677338
152,1.635746
153,1.670052
154,1.612625
155,1.625515
156,1.637106
157,1.606773
158,1.635079
159,1.629677
160,1.614958
161,1.598876
162,1.581716
163,1.595792
164,1.596625
165,1.574576
166,1.536455
167,1.581456
168,1.479962
169,1.562250
170,1.584799
171,1.540988
172,1.550220
173,1.522987
174,1.495770
175,1.520512
176,1.514023
177,1.499602
178,1.452682
179,1.492069
180,1.539248
181,1.461919
182,1.449473
183,1.486218
184,1.501705
185,1.481089
186,1.419022
187,1.460805
188,1.443829
189,1.424793
190,1.410801
191,1.433653
192,1.464849
193,1.432792
194,1.414135
195,1.426656
196,1.413578
197,1.398397
198,1.337670
199,1.383999
200,1.371318
201,1.379403
202,1.391374
203,1.374781
204,1.370037
205,1.379194
206,1.402825
207,1.395282
208,1.389593
209,1.342930
210,1.341250
211,1.392861
212,1.341312
213,1.355128
214,1.315768
215,1.369192
216,1.355912
217,1.368220
218,1.344869
219,1.345850
220,1.308897
221,1.314783
222,1.275661
223,1.303144
224,1.325374
225,1.315990
226,1.341156
227,1.336117
228,1.263901
229,1.327879
230,1.267992
231,1.294878
232,1.329620
233,1.240829
234,1.224725
235,1.260229
236,1.261359
237,1.254610
238,1.305741
239,1.258561
240,1.329353
241,1.231935
242,1.284398
