iteration,loss
1,6.405133
2,6.232328
3,6.091583
4,5.987500
5,5.917962
6,5.866801
7,5.816691
8,5.761333
9,5.717312
10,5.673141
11,5.624375
12,5.579312
13,5.527451
14,5.492081
15,5.429717
16,5.368612
17,5.331464
18,5.269711
19,5.226555
20,5.185001
21,5.158392
22,5.079896
23,5.043432
24,4.980945
25,4.932903
26,4.888749
27,4.840946
28,4.779432
29,4.722789
30,4.691638
31,4.626343
32,4.591025
33,4.536872
34,4.466278
35,4.428779
36,4.395381
37,4.333727
38,4.289785
39,4.254998
40,4.200925
41,4.162172
42,4.120659
43,4.059925
44,4.014555
45,3.982744
46,3.924680
47,3.863684
48,3.827816
49,3.790457
50,3.768847
51,3.719016
52,3.670826
53,3.636319
54,3.599795
55,3.554391
56,3.498751
57,3.441916
58,3.426300
59,3.387689
60,3.370331
61,3.342001
62,3.284616
63,3.274733
64,3.213075
65,3.188301
66,3.170182
67,3.123427
68,3.107335
69,3.058356
70,3.055187
71,3.004632
72,2.980181
73,2.960391
74,2.931205
75,2.886469
76,2.906079
77,2.858323
78,2.831370
79,2.785865
80,2.786671
81,2.772669
82,2.744750
83,2.722666
84,2.702945
85,2.710770
86,2.708846
87,2.630047
88,2.618747
89,2.564325
90,2.603414
91,2.601203
92,2.504206
93,2.557859
94,2.525731
95,2.476967
96,2.486656
97,2.469805
98,2.455574
99,2.428637
100,2.395897
101,2.395012
102,2.436034
103,2.405508
104,2.314838
105,2.363934
106,2.370097
107,2.295746
108,2.283305
109,2.310381
110,2.267806
111,2.284571
112,2.251355
113,2.234596
114,2.283937
115,2.231156
116,2.192566
117,2.245962
118,2.177569
119,2.168947
120,2.201763
121,2.147307
122,2.138199
123,2.130537
124,2.146343
125,2.101036
126,2.057741
127,2.133875
128,2.149346
129,2.063918
130,2.070337
131,2.067024
132,2.045012
133,2.005932
134,2.063287
135,1.983023
136,1.918892
137,1.994573
138,1.968575
139,2.010500
140,1.980014
141,1.979649
142,1.927862
143,1.988276
144,1.997185
145,1.967284
146,1.880320
147,1.951702
148,1.902480
149,1.888217
150,1.903685
151,1.906627
152,1.879119
153,1.854563
154,1.815350
155,1.836484
156,1.820139
157,1.755476
158,1.850044
159,1.824160
160,1.880966
161,1.806781
162,1.831247
163,1.835518
164,1.771161
165,1.781839
166,1.756941
167,1.792814
168,1.732304
169,1.735215
170,1.727358
171,1.746730
172,1.794807
173,1.737982
174,1.732721
175,1.720698
176,1.726000
177,1.699992
178,1.700994
179,1.675567
180,1.706566
181,1.634375
182,1.716937
183,1.689463
184,1.727899
185,1.661818
186,1.703469
187,1.637331
188,1.671701
189,1.689718
190,1.651969
191,1.640425
192,1.615344
193,1.594112
194,1.637664
195,1.641410
196,1.663778
197,1.616276
198,1.605578
199,1.648790
200,1.572320
201,1.606908
202,1.613600
203,1.595604
204,1.612853
205,1.700820
206,1.604202
207,1.629298
208,1.653817
209,1.519789
210,1.577983
211,1.597479
212,1.574699
213,1.577332
214,1.524700
215,1.604368
216,1.606357
217,1.564460
218,1.577844
219,1.539143
220,1.529298
221,1.542664
222,1.480862
223,1.612978
224,1.514685
225,1.516473
226,1.517830
227,1.537124
228,1.538457
229,1.543435
230,1.463326
231,1.553983
232,1.485611
233,1.513865
234,1.522829
235,1.534754
236,1.507633
237,1.511116
238,1.484872
239,1.524438
240,1.587020
241,1.568474
242,1.546000
243,1.510110
244,1.481036
245,1.563595
246,1.539299
247,1.498529
248,1.472054
249,1.488514
250,1.574035
251,1.513063
252,1.504225
253,1.436869
254,1.475536
255,1.492672
256,1.512249
257,1.423149
258,1.443855
259,1.452021
260,1.474829
261,1.450009
262,1.510081
263,1.489046
264,1.479026
265,1.470178
266,1.394763
267,1.486082
268,1.514220
269,1.462472
270,1.453962
271,1.536957
272,1.470429
273,1.516625
274,1.408832
275,1.510481
276,1.445049
277,1.428475
278,1.489938
279,1.438377
280,1.438370
281,1.430749
282,1.461689
283,1.506355
284,1.461454
285,1.474401
286,1.458060
287,1.413901
288,1.484124
289,1.434225
290,1.417438
291,1.464301
292,1.359321
293,1.392778
294,1.421568
295,1.478952
296,1.469973
297,1.449239
298,1.417467
299,1.377846
300,1.410482
301,1.427838
302,1.431332
303,1.413644
304,1.425473
305,1.424226
306,1.424012
307,1.411036
308,1.383420
309,1.445913
310,1.407223
311,1.428428
312,1.422798
313,1.435650
314,1.469093
315,1.397977
316,1.393958
317,1.395869
318,1.346124
319,1.367714
320,1.366268
321,1.427167
322,1.394090
323,1.445851
324,1.365825
325,1.386701
326,1.328651
327,1.424627
328,1.323816
329,1.335953
330,1.406265
331,1.357324
332,1.336722
333,1.424945
334,1.401028
335,1.314123
336,1.338407
337,1.467811
338,1.388663
339,1.441460
340,1.438034
341,1.400760
342,1.413863
343,1.338797
344,1.371840
345,1.404353
346,1.404859
347,1.352324
348,1.390732
349,1.421729
350,1.407956
351,1.351433
352,1.415165
353,1.382128
354,1.341524
355,1.426952
356,1.402776
357,1.388510
358,1.384459
359,1.349646
360,1.370794
361,1.347360
362,1.350425
363,1.394442
364,1.376927
365,1.321166
366,1.379605
367,1.354206
368,1.323328
369,1.370317
370,1.347948
371,1.362801
372,1.304990
373,1.345996
374,1.350207
375,1.321821
376,1.294840
377,1.357750
378,1.378072
379,1.361826
380,1.323982
381,1.326923
382,1.347305
383,1.372030
384,1.332370
385,1.332648
386,1.359416
387,1.373601
388,1.385518
389,1.325989
390,1.346623
391,1.341700
392,1.349984
393,1.344190
394,1.377948
395,1.314725
396,1.294897
397,1.333440
398,1.339802
