iteration,loss
1,6.410872
2,6.228208
3,6.100540
4,5.988113
5,5.912941
6,5.879614
7,5.818027
8,5.765962
9,5.719729
10,5.674608
11,5.631915
12,5.573805
13,5.528888
14,5.475999
15,5.433756
16,5.388939
17,5.326835
18,5.280710
19,5.227759
20,5.184197
21,5.132948
22,5.089850
23,5.043081
24,4.980396
25,4.932997
26,4.879135
27,4.834687
28,4.799730
29,4.740181
30,4.684565
31,4.638954
32,4.583889
33,4.556740
34,4.493058
35,4.437631
36,4.390883
37,4.348555
38,4.310090
39,4.238886
40,4.205767
41,4.154976
42,4.107612
43,4.077083
44,4.013314
45,3.976471
46,3.929708
47,3.883419
48,3.846077
49,3.803415
50,3.755622
51,3.703420
52,3.662688
53,3.631277
54,3.580658
55,3.557112
56,3.521646
57,3.477334
58,3.442838
59,3.412545
60,3.364563
61,3.360464
62,3.286879
63,3.277823
64,3.234046
65,3.208516
66,3.162132
67,3.161601
68,3.108030
69,3.084984
70,3.035851
71,3.047909
72,3.001170
73,2.967406
74,2.953063
75,2.924809
76,2.872101
77,2.881394
78,2.861076
79,2.802797
80,2.795774
81,2.810373
82,2.766459
83,2.723830
84,2.683882
85,2.698298
86,2.668937
87,2.664215
88,2.613477
89,2.616840
90,2.609602
91,2.591959
92,2.576945
93,2.522711
94,2.541299
95,2.530970
96,2.482938
97,2.487399
98,2.478859
99,2.489358
100,2.453434
101,2.444815
102,2.380715
103,2.382034
104,2.360529
105,2.376596
106,2.353857
107,2.346609
108,2.311803
109,2.342782
110,2.290472
111,2.310734
112,2.283876
113,2.272901
114,2.249974
115,2.233915
116,2.288482
117,2.248127
118,2.159849
119,2.199175
120,2.196437
121,2.229334
122,2.162912
123,2.120386
124,2.150540
125,2.133325
126,2.150497
127,2.124720
128,2.091075
129,2.070178
130,2.135927
131,2.101298
132,2.091209
133,2.009964
134,2.069679
135,2.039103
136,2.050323
137,2.041357
138,2.006939
139,2.035090
140,1.977631
141,1.983573
142,1.971813
143,1.983025
144,1.998515
145,1.987486
146,1.964705
147,1.962718
148,1.953287
149,2.000273
150,1.913502
151,1.927749
152,1.918793
153,1.875978
154,1.913724
155,1.875579
156,1.878103
157,1.924850
158,1.870024
159,1.849064
160,1.811177
161,1.877287
162,1.877897
163,1.853359
164,1.826642
165,1.862255
166,1.813551
167,1.857331
168,1.812640
169,1.834177
170,1.856729
171,1.795886
172,1.820500
173,1.795718
174,1.790727
175,1.807675
176,1.769154
177,1.748460
178,1.779684
179,1.740775
180,1.810032
181,1.740552
182,1.787534
183,1.698207
184,1.761564
185,1.718520
186,1.730477
187,1.743232
188,1.715842
189,1.697514
190,1.769970
191,1.734703
192,1.684431
193,1.708268
194,1.696973
195,1.625517
196,1.704288
197,1.709054
198,1.698237
199,1.693832
200,1.665839
201,1.651143
202,1.688840
203,1.645042
204,1.671328
205,1.657580
206,1.616656
207,1.655296
208,1.675854
209,1.646623
210,1.658268
211,1.717556
212,1.635182
213,1.591417
214,1.628344
215,1.607297
216,1.632810
217,1.698331
218,1.669211
219,1.600725
220,1.640434
221,1.619232
222,1.614113
223,1.610575
224,1.654613
225,1.601995
226,1.583761
227,1.606383
228,1.628313
229,1.607841
230,1.595249
231,1.585894
232,1.608290
233,1.587474
234,1.543166
235,1.585896
236,1.604189
237,1.589086
238,1.607174
239,1.572193
240,1.588792
241,1.577046
242,1.524351
243,1.615369
244,1.516104
245,1.575495
246,1.569825
247,1.567278
248,1.548222
249,1.566230
250,1.609311
251,1.539695
252,1.554988
253,1.585389
254,1.539324
255,1.589686
256,1.517700
257,1.595752
258,1.521346
259,1.542343
260,1.477670
261,1.543278
262,1.526668
263,1.553174
264,1.509028
265,1.547636
266,1.553736
267,1.508882
268,1.547165
269,1.572083
270,1.499346
271,1.460205
272,1.514572
273,1.540813
274,1.480963
275,1.486084
276,1.579386
277,1.532224
278,1.566697
279,1.483078
280,1.520335
281,1.503990
282,1.498476
283,1.531525
284,1.490697
285,1.521724
286,1.541025
287,1.515088
