iteration,loss
1,6.406350
2,6.238710
3,6.095145
4,5.991755
5,5.919059
6,5.873761
7,5.829285
8,5.792590
9,5.735373
10,5.690076
11,5.639776
12,5.580660
13,5.522793
14,5.486878
15,5.427929
16,5.385879
17,5.345149
18,5.282553
19,5.236816
20,5.187844
21,5.133417
22,5.089533
23,5.036961
24,4.996680
25,4.949621
26,4.898879
27,4.841364
28,4.806945
29,4.749595
30,4.695003
31,4.644682
32,4.587488
33,4.557583
34,4.497322
35,4.449130
36,4.407476
37,4.371894
38,4.306338
39,4.258931
40,4.223343
41,4.185317
42,4.120685
43,4.071353
44,4.043485
45,3.967964
46,3.949394
47,3.901794
48,3.868300
49,3.816720
50,3.771966
51,3.740982
52,3.709463
53,3.667398
54,3.609955
55,3.568346
56,3.537526
57,3.480689
58,3.468606
59,3.418602
60,3.389413
61,3.338500
62,3.310411
63,3.268241
64,3.250849
65,3.207363
66,3.192014
67,3.164233
68,3.115960
69,3.118947
70,3.078305
71,3.047388
72,3.029176
73,3.020766
74,2.958242
75,2.940282
76,2.904489
77,2.885250
78,2.847843
79,2.819757
80,2.788910
81,2.796396
82,2.753184
83,2.736893
84,2.720457
85,2.723564
86,2.648392
87,2.695749
88,2.639120
89,2.624172
90,2.607029
91,2.561242
92,2.603360
93,2.570097
94,2.568957
95,2.506163
96,2.498518
97,2.480892
98,2.419855
99,2.487086
100,2.455085
101,2.410546
102,2.401407
103,2.381142
104,2.381331
105,2.314286
106,2.334422
107,2.317498
108,2.315236
109,2.316076
110,2.268728
111,2.294945
112,2.275424
113,2.279195
114,2.255198
115,2.243813
116,2.264270
117,2.220033
118,2.182341
119,2.201286
120,2.170950
121,2.141739
122,2.182609
123,2.062574
124,2.103423
125,2.075211
126,2.075173
127,2.107662
128,2.061080
129,2.058126
130,2.048068
131,2.050320
132,1.996192
133,2.040897
134,2.039983
135,2.021178
136,2.004900
137,2.015257
138,1.987839
139,1.987797
140,1.985652
141,1.970685
142,1.977774
143,1.978159
144,1.905753
145,1.935357
146,1.929960
147,1.934751
148,1.918279
149,1.934614
150,1.898747
151,1.908918
152,1.829706
153,1.876673
154,1.820434
155,1.905284
156,1.820328
157,1.790129
158,1.889786
159,1.787177
160,1.839660
161,1.785039
162,1.801010
163,1.806853
164,1.811976
165,1.772112
166,1.782635
167,1.779762
168,1.736235
169,1.734100
170,1.789932
171,1.740378
172,1.723924
173,1.681000
174,1.754204
175,1.742430
176,1.659138
177,1.696625
178,1.671602
179,1.668983
180,1.676912
181,1.700537
182,1.740301
183,1.637125
184,1.721009
185,1.706281
186,1.645751
187,1.683751
188,1.690884
189,1.680592
190,1.647647
191,1.653907
192,1.628555
193,1.652183
194,1.677269
195,1.596914
196,1.712533
197,1.628166
198,1.626402
199,1.626168
200,1.623384
201,1.579655
202,1.659959
203,1.647062
204,1.601653
205,1.610168
206,1.628805
207,1.608996
208,1.554770
209,1.644214
210,1.603240
211,1.577119
212,1.534979
213,1.595980
214,1.539662
215,1.571868
216,1.523051
217,1.491113
218,1.547680
219,1.572447
220,1.569871
221,1.518897
222,1.584280
223,1.546022
224,1.578851
225,1.487782
226,1.584490
227,1.514820
228,1.493933
229,1.548730
230,1.500812
231,1.486125
232,1.473470
233,1.546238
234,1.547822
235,1.514890
236,1.505089
237,1.474913
238,1.499981
239,1.453652
240,1.478517
241,1.489199
242,1.498684
243,1.463028
244,1.439624
245,1.486089
246,1.537505
247,1.487862
248,1.431363
249,1.465768
250,1.429472
251,1.488158
252,1.429514
253,1.444148
254,1.445608
255,1.402050
256,1.470839
257,1.439254
258,1.368726
259,1.444724
260,1.478522
261,1.484179
262,1.452950
263,1.445493
264,1.535683
265,1.467870
266,1.439256
267,1.466143
268,1.392357
269,1.444758
270,1.445470
271,1.387448
272,1.442933
273,1.505840
274,1.425225
275,1.424374
276,1.418824
277,1.383803
278,1.411176
279,1.374436
280,1.380342
281,1.447116
282,1.464808
283,1.479261
284,1.457283
285,1.377284
286,1.403743
287,1.372692
288,1.387027
289,1.397027
290,1.398200
291,1.387385
292,1.323221
293,1.388162
294,1.368820
295,1.413080
296,1.367377
297,1.426969
298,1.384405
299,1.424756
300,1.360443
301,1.419794
302,1.354170
303,1.403172
304,1.330521
305,1.320444
306,1.316824
307,1.427817
308,1.364817
309,1.404133
310,1.400808
311,1.419654
312,1.392540
313,1.368278
314,1.437979
315,1.439802
316,1.381794
