Experiment,CV,Q2,MAE,RMSE,N
thesis_kimi_hd_16_8_4_4_4,group,0.07184583804886124,8.709462574100233,10.548802693755027,13
thesis_opus_hd_16_8_4_4_4,group,0.016042039480873793,22.187204131427112,24.926322935952278,85
thesis_original_hd_16_8_4_4_4,group,-0.004188987539553102,14.760867465468337,50.76007967737852,363
thesis_original_hd_64_32_16_8_4,group,-0.0289735124764412,14.217025115539883,51.38266974932423,363
thesis_original_hd_32_16_8_4_4,group,-0.050636792370172046,14.758613205743593,51.92073964158474,363
thesis_deepseek_hd_64_32_16_8_4,group,-0.11881333186171994,41.07024615329024,87.34365064351626,308
thesis_opus_hd_64_32_16_8_4,group,-0.15741227649169098,23.351348305935506,27.034228965999663,85
thesis_deepseek_hd_16_8_4_4_4,group,-0.2030137351090957,46.63474031524306,90.570719199034,308
thesis_deepseek_hd_32_16_8_4_4,group,-0.28109964713457347,46.10629107581964,93.46391726714269,308
thesis_opus_hd_32_16_8_4_4,group,-0.32984617195525745,25.72067334736061,28.978149536582137,85
thesis_kimi_hd_32_16_8_4_4,group,-0.5881605349316186,11.848099087235358,13.798767939888693,13
thesis_kimi_hd_64_32_16_8_4,group,-0.6949209205604099,11.881082698808093,14.255020008011744,13
