iteration,loss
1,6.410153
2,6.233708
3,6.097619
4,5.989522
5,5.912428
6,5.873538
7,5.820115
8,5.775199
9,5.727017
10,5.679881
11,5.629232
12,5.581731
13,5.528061
14,5.482448
15,5.443441
16,5.376084
17,5.333429
18,5.281045
19,5.224492
20,5.190851
21,5.139159
22,5.091836
23,5.032472
24,4.983692
25,4.919903
26,4.894308
27,4.841914
28,4.785405
29,4.740388
30,4.693429
31,4.630314
32,4.577296
33,4.544942
34,4.479286
35,4.463304
36,4.375943
37,4.353314
38,4.288634
39,4.242100
40,4.213290
41,4.169302
42,4.119411
43,4.054149
44,4.012914
45,3.980065
46,3.940242
47,3.891226
48,3.855591
49,3.805522
50,3.774484
51,3.713287
52,3.673795
53,3.651522
54,3.617148
55,3.557123
56,3.514385
57,3.475882
58,3.430606
59,3.396921
60,3.356366
61,3.348910
62,3.345757
63,3.288981
64,3.230690
65,3.207785
66,3.166694
67,3.148036
68,3.086666
69,3.061749
70,3.048163
71,3.010735
72,2.974144
73,2.984314
74,2.938749
75,2.906344
76,2.886372
77,2.877549
78,2.850804
79,2.825032
80,2.802171
81,2.780461
82,2.770043
83,2.726113
84,2.716750
85,2.682109
86,2.670335
87,2.651770
88,2.635767
89,2.611050
90,2.588341
91,2.595878
92,2.590989
93,2.549957
94,2.513103
95,2.504786
96,2.503007
97,2.477127
98,2.442232
99,2.431225
100,2.404530
101,2.389396
102,2.406656
103,2.351022
104,2.411040
105,2.328917
106,2.339391
107,2.342098
108,2.348233
109,2.318725
110,2.266796
111,2.299231
112,2.314129
113,2.224019
114,2.296390
115,2.251503
116,2.286093
117,2.234808
118,2.234297
119,2.161195
120,2.177061
121,2.178684
122,2.176197
123,2.146243
124,2.127769
125,2.126894
126,2.094092
127,2.115060
128,2.073220
129,2.097904
130,2.065091
131,2.075657
132,2.091687
133,2.059791
134,2.048310
135,2.016030
136,2.009370
137,2.032680
138,2.015298
139,1.960108
140,2.002289
141,1.992276
142,1.960386
143,1.990955
144,1.966279
145,1.991545
146,1.946486
147,1.949491
148,1.919998
149,1.908322
150,1.935407
151,1.940690
152,1.956574
153,1.936770
154,1.893421
155,1.859468
156,1.851472
157,1.864890
158,1.879911
159,1.894891
160,1.814779
161,1.910629
162,1.893011
163,1.843900
164,1.810920
165,1.865491
166,1.827268
167,1.879609
168,1.794492
169,1.748996
170,1.784245
171,1.799324
172,1.765742
173,1.759403
174,1.777422
175,1.823545
176,1.762570
177,1.758508
178,1.819008
179,1.769909
180,1.732792
181,1.788536
182,1.807624
183,1.760305
184,1.796069
185,1.749090
186,1.724533
187,1.709376
188,1.697628
189,1.661188
190,1.706568
191,1.740912
192,1.700921
193,1.707092
194,1.671282
195,1.719723
196,1.725760
197,1.624042
198,1.678177
199,1.695644
200,1.691315
201,1.734953
202,1.684346
203,1.679647
204,1.707158
205,1.698704
206,1.728529
207,1.696604
208,1.588454
209,1.700494
210,1.648708
211,1.637217
212,1.647976
213,1.615957
214,1.714684
215,1.598967
216,1.685893
217,1.616338
218,1.649691
219,1.587463
220,1.646058
221,1.659824
222,1.649766
223,1.626215
224,1.656877
225,1.625884
226,1.605214
227,1.585295
228,1.668093
229,1.580830
230,1.667081
231,1.566499
232,1.600962
233,1.645911
234,1.577848
235,1.670623
236,1.574173
237,1.599439
238,1.593799
239,1.606765
240,1.551490
241,1.595040
242,1.555424
243,1.551527
244,1.544782
245,1.587059
246,1.587199
247,1.550478
248,1.616273
249,1.538452
250,1.598387
251,1.596453
252,1.568917
253,1.530124
254,1.525134
255,1.548252
256,1.550148
257,1.546986
258,1.548904
259,1.567265
260,1.565051
261,1.527537
262,1.555301
263,1.532020
264,1.560116
265,1.539853
266,1.612670
267,1.584112
268,1.535251
269,1.512907
270,1.528682
271,1.536382
272,1.527769
273,1.517553
274,1.550009
275,1.472496
276,1.503640
277,1.528013
278,1.534461
279,1.552247
280,1.529799
281,1.522908
282,1.541085
283,1.486270
284,1.524601
285,1.514487
286,1.498633
287,1.541339
288,1.480332
289,1.502342
290,1.552042
291,1.485990
292,1.480279
293,1.515669
294,1.442503
295,1.502412
296,1.538981
297,1.480288
298,1.457903
299,1.527719
300,1.508325
301,1.556481
302,1.497740
303,1.509174
304,1.510781
305,1.487856
306,1.474976
307,1.484557
308,1.473132
309,1.474052
310,1.494898
311,1.446658
312,1.460438
313,1.459547
314,1.490627
315,1.497720
316,1.530067
317,1.446231
