poly_num_hbond_donors_sum_fullpolymerfeaturizer,poly_num_hbond_acceptors_sum_fullpolymerfeaturizer,poly_num_non_aromatic_rings_sum_fullpolymerfeaturizer,poly_num_aromatic_rings_sum_fullpolymerfeaturizer,poly_topological_surface_area_sum_fullpolymerfeaturizer,poly_num_hbond_donors_sidechainfeaturizer_sum,poly_num_hbond_acceptors_sidechainfeaturizer_sum,poly_num_atoms_sum_backbonefeaturizer,poly_sp2_carbon_count_sum_backbonefeaturizer,poly_sp3_carbon_count_sum_backbonefeaturizer,poly_homo_eV_H,poly_lumo_eV_H,poly_homo_eV_C,poly_lumo_eV_C,poly_homo_eV_O,poly_lumo_eV_O,drug_num_hbond_donors_sum_fullmolecularfeaturizer,drug_num_hbond_acceptors_sum_fullmolecularfeaturizer,drug_num_non_aromatic_rings_sum_fullmolecularfeaturizer,drug_num_aromatic_rings_sum_fullmolecularfeaturizer,drug_logp,drug_min_logd_pH_7.0-7.4,drug_max_logd_pH_7.0-7.4,drug_homo_eV,drug_lumo_eV,CONCENTRATION,CAPACITY,SOURCE
0.0,1.0,0.0,1.0,20.310000000000002,0,1,5,0,3,17.694594684332984,-18.665422655183086,17.200640603232443,-18.604474344164057,16.98936010927127,-19.513633657970225,1,3,0,1,1.3101,-0.024600000000000066,-0.024600000000000066,17.577241778774447,-20.36470169131953,10,0.1865,https://www.researchgate.net/publication/384556501_2-Oxazoline-Based_Polymer_for_Pharmaceutical_Products_Adsorption_in_Aqueous_Media
0.0,1.0,0.0,1.0,20.310000000000002,0,1,5,0,3,17.69105452311288,-18.686143535017063,17.19750418020167,-18.589203931955122,16.7843276706693,-20.1447342286321,1,3,0,1,1.3101,-0.024600000000000066,-0.024600000000000066,17.577237165984013,-20.36470591032498,25,0.342,https://www.researchgate.net/publication/384556501_2-Oxazoline-Based_Polymer_for_Pharmaceutical_Products_Adsorption_in_Aqueous_Media
0.0,1.0,0.0,1.0,20.310000000000002,0,1,5,0,3,17.69105732434222,-18.686142909279628,17.18623239905365,-18.600570267795014,17.115019902331287,-19.876099814743643,1,3,0,1,1.3101,-0.024600000000000066,-0.024600000000000066,17.577248238064907,-20.364703219308257,50,0.6528,https://www.researchgate.net/publication/384556501_2-Oxazoline-Based_Polymer_for_Pharmaceutical_Products_Adsorption_in_Aqueous_Media
0.0,1.0,0.0,1.0,20.310000000000002,0,1,5,0,3,17.694581708191336,-18.665419143794153,17.207511057005473,-18.629553515735857,16.72977451364128,-20.027693658076487,1,3,0,1,1.3101,-0.024600000000000066,-0.024600000000000066,17.57723894532016,-20.364709527698626,100,1.71,https://www.researchgate.net/publication/384556501_2-Oxazoline-Based_Polymer_for_Pharmaceutical_Products_Adsorption_in_Aqueous_Media
0.0,1.0,0.0,1.0,20.310000000000002,0,1,5,0,3,17.694581069379087,-18.66542007146656,17.20750145965271,-18.629564887326524,16.78436973466487,-20.144749861296212,1,3,0,1,1.3101,-0.024600000000000066,-0.024600000000000066,17.577248457743526,-20.364711543335734,200,3.43,https://www.researchgate.net/publication/384556501_2-Oxazoline-Based_Polymer_for_Pharmaceutical_Products_Adsorption_in_Aqueous_Media
0.0,1.0,0.0,1.0,20.310000000000002,0,1,5,0,3,17.69458082886034,-18.66542049465604,17.194874249885945,-18.656010788024506,16.863876752028556,-20.32702251318798,1,1,0,1,3.073200000000001,1.7385,1.7385,16.837444614260463,-20.24654985266545,25,9.728,https://www.researchgate.net/publication/384556501_2-Oxazoline-Based_Polymer_for_Pharmaceutical_Products_Adsorption_in_Aqueous_Media
0.0,1.0,0.0,1.0,20.310000000000002,0,1,5,0,3,17.69457540228556,-18.665417981370787,17.20749316233853,-18.629555390056638,16.784191586039768,-20.144715548583005,1,1,0,1,3.073200000000001,1.7385,1.7385,16.965543942251724,-20.26457620121067,50,12.78,https://www.researchgate.net/publication/384556501_2-Oxazoline-Based_Polymer_for_Pharmaceutical_Products_Adsorption_in_Aqueous_Media
0.0,1.0,0.0,1.0,20.310000000000002,0,1,5,0,3,17.694586378075545,-18.665422767936395,17.186235214262716,-18.600574632137217,16.71576795983572,-20.216763564587666,1,1,0,1,3.073200000000001,1.7385,1.7385,16.966228426165184,-20.267539765725733,100,25.37,https://www.researchgate.net/publication/384556501_2-Oxazoline-Based_Polymer_for_Pharmaceutical_Products_Adsorption_in_Aqueous_Media
0.0,1.0,0.0,1.0,20.310000000000002,0,1,5,0,3,17.694577831771085,-18.665417857766933,17.194891640831397,-18.656007525952926,16.897961362168086,-20.123123018749297,1,1,0,1,3.073200000000001,1.7385,1.7385,16.840345822124107,-20.24627041946933,200,32.23,https://www.researchgate.net/publication/384556501_2-Oxazoline-Based_Polymer_for_Pharmaceutical_Products_Adsorption_in_Aqueous_Media
0.0,1.0,0.0,1.0,20.310000000000002,0,1,5,0,3,17.69104919413085,-18.68614271661329,17.186240791709253,-18.600570739852042,17.19993816935681,-19.948554852693235,2,4,0,1,2.0023999999999997,0.5853000000000006,2.0023999999999997,17.725724718318432,-28.657282225525904,10,0.07254,https://www.researchgate.net/publication/384556501_2-Oxazoline-Based_Polymer_for_Pharmaceutical_Products_Adsorption_in_Aqueous_Media
0.0,1.0,0.0,1.0,20.310000000000002,0,1,5,0,3,17.691052212513945,-18.686143462018155,17.206036671845126,-18.61993904665103,16.715101413251734,-19.72870600366635,2,4,0,1,2.0023999999999997,0.5853000000000006,2.0023999999999997,17.755693894980556,-28.658279230324634,25,0.1347,https://www.researchgate.net/publication/384556501_2-Oxazoline-Based_Polymer_for_Pharmaceutical_Products_Adsorption_in_Aqueous_Media
0.0,1.0,0.0,1.0,20.310000000000002,0,1,5,0,3,17.691050458119392,-18.68614201504341,17.196682534699903,-18.595067184876882,17.152002954258315,-19.843020790258343,2,4,0,1,2.0023999999999997,0.5853000000000006,2.0023999999999997,17.46305725392057,-28.85858682346271,50,0.2902,https://www.researchgate.net/publication/384556501_2-Oxazoline-Based_Polymer_for_Pharmaceutical_Products_Adsorption_in_Aqueous_Media
0.0,1.0,0.0,1.0,20.310000000000002,0,1,5,0,3,17.69458040846511,-18.66542003156041,17.20061188978865,-18.604481945669516,16.956579114715073,-19.9660426033779,2,4,0,1,2.0023999999999997,0.5853000000000006,2.0023999999999997,17.757660912464218,-28.659017632039365,100,0.8912,https://www.researchgate.net/publication/384556501_2-Oxazoline-Based_Polymer_for_Pharmaceutical_Products_Adsorption_in_Aqueous_Media
