poly_num_hbond_donors_sum_fullpolymerfeaturizer,poly_num_hbond_acceptors_sum_fullpolymerfeaturizer,poly_num_non_aromatic_rings_sum_fullpolymerfeaturizer,poly_num_aromatic_rings_sum_fullpolymerfeaturizer,poly_topological_surface_area_sum_fullpolymerfeaturizer,poly_num_hbond_donors_sidechainfeaturizer_sum,poly_num_hbond_acceptors_sidechainfeaturizer_sum,poly_num_atoms_sum_backbonefeaturizer,poly_sp2_carbon_count_sum_backbonefeaturizer,poly_sp3_carbon_count_sum_backbonefeaturizer,poly_homo_eV_H,poly_lumo_eV_H,poly_homo_eV_C,poly_lumo_eV_C,poly_homo_eV_O,poly_lumo_eV_O,drug_num_hbond_donors_sum_fullmolecularfeaturizer,drug_num_hbond_acceptors_sum_fullmolecularfeaturizer,drug_num_non_aromatic_rings_sum_fullmolecularfeaturizer,drug_num_aromatic_rings_sum_fullmolecularfeaturizer,drug_logp,drug_min_DRUG_logd_at_WATER_PH,drug_max_DRUG_logd_at_WATER_PH,drug_homo_eV,drug_lumo_eV,WATER_PH,CONCENTRATION,CAPACITY,SOURCE
1.0,2.0,0.0,2.0,40.54,1.0,1.0,13.0,9.0,2.0,-10.413710988739751,-6.233073556471248,-10.383675739032322,-6.238721707064727,-10.376729340131732,-6.478719002198418,1.0,3.0,0.0,1.0,1.3101,-0.024600000000000066,-0.024600000000000066,-11.375079344193082,-7.868286595098995,8.2,10.0,0.1865,https://www.researchgate.net/publication/384556501_2-Oxazoline-Based_Polymer_for_Pharmaceutical_Products_Adsorption_in_Aqueous_Media
1.0,2.0,0.0,2.0,40.54,1.0,1.0,13.0,9.0,2.0,-10.220326418981724,-6.165780187431515,-10.383370695400508,-6.244366904058275,-10.575557589465507,-6.640073501578597,1.0,3.0,0.0,1.0,1.3101,-0.024600000000000066,-0.024600000000000066,-11.375086923366123,-7.868292918941127,8.2,25.0,0.342,https://www.researchgate.net/publication/384556501_2-Oxazoline-Based_Polymer_for_Pharmaceutical_Products_Adsorption_in_Aqueous_Media
1.0,2.0,0.0,2.0,40.54,1.0,1.0,13.0,9.0,2.0,-10.473847538373027,-6.35640971837486,-10.37446900126902,-6.157671017531762,-10.585897197278976,-6.67244488275243,1.0,3.0,0.0,1.0,1.3101,-0.024600000000000066,-0.024600000000000066,-11.375082200829661,-7.868290316699787,8.2,50.0,0.6528,https://www.researchgate.net/publication/384556501_2-Oxazoline-Based_Polymer_for_Pharmaceutical_Products_Adsorption_in_Aqueous_Media
1.0,2.0,0.0,2.0,40.54,1.0,1.0,13.0,9.0,2.0,-10.650016712413713,-6.521455820337534,-10.37147139545923,-6.289175474777762,-10.438053623456394,-6.529412352072125,1.0,3.0,0.0,1.0,1.3101,-0.024600000000000066,-0.024600000000000066,-11.375086867815774,-7.868292266779758,8.2,100.0,1.71,https://www.researchgate.net/publication/384556501_2-Oxazoline-Based_Polymer_for_Pharmaceutical_Products_Adsorption_in_Aqueous_Media
1.0,2.0,0.0,2.0,40.54,1.0,1.0,13.0,9.0,2.0,-10.33380880967905,-6.2785821371049115,-10.39006982595169,-6.267256277840863,-10.448905204375134,-6.449643944494263,1.0,3.0,0.0,1.0,1.3101,-0.024600000000000066,-0.024600000000000066,-11.375089159870079,-7.8682896060951,8.2,200.0,3.43,https://www.researchgate.net/publication/384556501_2-Oxazoline-Based_Polymer_for_Pharmaceutical_Products_Adsorption_in_Aqueous_Media
1.0,2.0,0.0,2.0,40.54,1.0,1.0,13.0,9.0,2.0,-10.498239718269662,-6.339079346624993,-10.436069498963429,-6.37523779217693,-10.54337462151525,-6.580147186621811,1.0,1.0,0.0,1.0,3.073200000000001,1.7385,1.7385,-10.573490094091174,-6.675528891401489,8.2,25.0,9.728,https://www.researchgate.net/publication/384556501_2-Oxazoline-Based_Polymer_for_Pharmaceutical_Products_Adsorption_in_Aqueous_Media
1.0,2.0,0.0,2.0,40.54,1.0,1.0,13.0,9.0,2.0,-10.49119489178513,-6.386530313147602,-10.570375983115435,-6.382339876656719,-10.368333833664174,-6.328489737979661,1.0,1.0,0.0,1.0,3.073200000000001,1.7385,1.7385,-10.489216641630417,-6.642229480816309,8.2,50.0,12.78,https://www.researchgate.net/publication/384556501_2-Oxazoline-Based_Polymer_for_Pharmaceutical_Products_Adsorption_in_Aqueous_Media
1.0,2.0,0.0,2.0,40.54,1.0,1.0,13.0,9.0,2.0,-10.415872364192836,-6.36093642515198,-10.290210725751539,-6.215277208604001,-10.428481098420903,-6.522519829991751,1.0,1.0,0.0,1.0,3.073200000000001,1.7385,1.7385,-10.48671302043342,-6.6455932457632025,8.2,100.0,25.37,https://www.researchgate.net/publication/384556501_2-Oxazoline-Based_Polymer_for_Pharmaceutical_Products_Adsorption_in_Aqueous_Media
1.0,2.0,0.0,2.0,40.54,1.0,1.0,13.0,9.0,2.0,-10.475552503912526,-6.358328700934383,-10.371780237790814,-6.291340856307844,-10.369289071465701,-6.344974377046302,1.0,1.0,0.0,1.0,3.073200000000001,1.7385,1.7385,-10.573068908205963,-6.673928830615737,8.2,200.0,32.23,https://www.researchgate.net/publication/384556501_2-Oxazoline-Based_Polymer_for_Pharmaceutical_Products_Adsorption_in_Aqueous_Media
1.0,2.0,0.0,2.0,40.54,1.0,1.0,13.0,9.0,2.0,-10.491179719106793,-6.386513905892963,-10.257765419427969,-6.180237457227719,-10.14419482821722,-6.514415375833848,2.0,4.0,0.0,1.0,2.0023999999999997,0.5853000000000006,2.786500000000001,-6.862002770636463,-6.375933983055153,8.2,10.0,0.07254,https://www.researchgate.net/publication/384556501_2-Oxazoline-Based_Polymer_for_Pharmaceutical_Products_Adsorption_in_Aqueous_Media
