POLYMER_USED,DRUG,WATER_PH,CONCENTRATION,CAPACITY,SOURCE
(Fe3O4@Cd-MOF@CS),Amoxicillin,8.0,0.0,0.0,interpolated
(Fe3O4@Cd-MOF@CS),Amoxicillin,8.0,16.66667,34.33333,interpolated
(Fe3O4@Cd-MOF@CS),Amoxicillin,8.0,33.33333,68.66667,interpolated
(Fe3O4@Cd-MOF@CS),Amoxicillin,8.0,50.0,103.0,https://link.springer.com/article/10.1007/s41742-025-00825-4
(α-Fe2O3),Cephalexin,7.5,0.0,0.0,interpolated
(α-Fe2O3),Cephalexin,7.5,50.0,23.33333,interpolated
(α-Fe2O3),Cephalexin,7.5,100.0,46.66667,interpolated
(α-Fe2O3),Cephalexin,7.5,150.0,70.0,https://link.springer.com/article/10.1007/s41742-025-00825-4
Amberlite-XAD-16 polymer,Cephalexin,3.0,0.0,0.0,interpolated
Amberlite-XAD-16 polymer,Cephalexin,3.0,8.33333,38.66667,interpolated
Amberlite-XAD-16 polymer,Cephalexin,3.0,16.66667,77.33333,interpolated
Amberlite-XAD-16 polymer,Cephalexin,3.0,25.0,116.0,https://link.springer.com/article/10.1007/s41742-025-00825-4
Amberlite-XAD-4 polymer,Cephalexin,3.0,0.0,0.0,interpolated
Amberlite-XAD-4 polymer,Cephalexin,3.0,8.33333,119.0,interpolated
Amberlite-XAD-4 polymer,Cephalexin,3.0,16.66667,238.0,interpolated
Amberlite-XAD-4 polymer,Cephalexin,3.0,25.0,357.0,https://link.springer.com/article/10.1007/s41742-025-00825-4
Amine-coated magnetic Nanocomposite NiFe2O4@SiO2,Ibuprofen,7.0,0.0,0.0,interpolated
Amine-coated magnetic Nanocomposite NiFe2O4@SiO2,Ibuprofen,7.0,4.0,19.66667,interpolated
Amine-coated magnetic Nanocomposite NiFe2O4@SiO2,Ibuprofen,7.0,8.0,39.33333,interpolated
Amine-coated magnetic Nanocomposite NiFe2O4@SiO2,Ibuprofen,7.0,12.0,59.0,https://link.springer.com/article/10.1007/s41742-025-00825-4
Biochar/MgFe2O4,Levofloxacin,5.0,0.0,0.0,interpolated
Biochar/MgFe2O4,Levofloxacin,5.0,33.33333,38.33333,interpolated
Biochar/MgFe2O4,Levofloxacin,5.0,66.66667,76.66667,interpolated
Biochar/MgFe2O4,Levofloxacin,5.0,100.0,115.0,https://link.springer.com/article/10.1007/s41742-025-00825-4
C-lys,2.4D,6.5,0.0,0.0,interpolated
C-lys,2.4D,6.5,8.33333,16.93667,interpolated
C-lys,2.4D,6.5,16.66667,33.87333,interpolated
C-lys,2.4D,6.5,25.0,50.81,https://www.researchgate.net/publication/363374372_Single_and_Dual_polymeric_sponges_for_emerging_pollutants_removal
C-lys,Ampicillin,6.5,0.0,0.0,interpolated
C-lys,Ampicillin,6.5,8.33333,4.48,interpolated
C-lys,Ampicillin,6.5,16.66667,8.96,interpolated
C-lys,Ampicillin,6.5,25.0,13.44,https://www.researchgate.net/publication/363374372_Single_and_Dual_polymeric_sponges_for_emerging_pollutants_removal
C-lys,Doxycycline,6.5,0.0,0.0,interpolated
C-lys,Doxycycline,6.5,8.33333,2.25,interpolated
C-lys,Doxycycline,6.5,16.66667,4.5,interpolated
C-lys,Doxycycline,6.5,25.0,6.75,https://www.researchgate.net/publication/363374372_Single_and_Dual_polymeric_sponges_for_emerging_pollutants_removal
C-lys,Fluconazole,6.5,0.0,0.0,interpolated
C-lys,Fluconazole,6.5,8.33333,0.0,interpolated
C-lys,Fluconazole,6.5,16.66667,0.0,interpolated
C-lys,Fluconazole,6.5,25.0,0.0,https://www.researchgate.net/publication/363374372_Single_and_Dual_polymeric_sponges_for_emerging_pollutants_removal
C-lys,Lomefloxacin,6.5,0.0,0.0,interpolated
C-lys,Lomefloxacin,6.5,8.33333,0.0,interpolated
C-lys,Lomefloxacin,6.5,16.66667,0.0,interpolated
C-lys,Lomefloxacin,6.5,25.0,0.0,https://www.researchgate.net/publication/363374372_Single_and_Dual_polymeric_sponges_for_emerging_pollutants_removal
C-lys,Methylene Violet,6.5,0.0,0.0,interpolated
C-lys,Methylene Violet,6.5,8.33333,0.0,interpolated
C-lys,Methylene Violet,6.5,16.66667,0.0,interpolated
C-lys,Methylene Violet,6.5,25.0,0.0,https://www.researchgate.net/publication/363374372_Single_and_Dual_polymeric_sponges_for_emerging_pollutants_removal
C-lys,Moxidectin,6.5,0.0,0.0,interpolated
C-lys,Moxidectin,6.5,8.33333,4.39,interpolated
C-lys,Moxidectin,6.5,16.66667,8.78,interpolated
C-lys,Moxidectin,6.5,25.0,13.17,https://www.researchgate.net/publication/363374372_Single_and_Dual_polymeric_sponges_for_emerging_pollutants_removal
C-lys,Piroxicam,6.5,0.0,0.0,interpolated
C-lys,Piroxicam,6.5,8.33333,4.59333,interpolated
C-lys,Piroxicam,6.5,16.66667,9.18667,interpolated
C-lys,Piroxicam,6.5,25.0,13.78,https://www.researchgate.net/publication/363374372_Single_and_Dual_polymeric_sponges_for_emerging_pollutants_removal
C-lys,Thymol Blue,6.5,0.0,0.0,interpolated
C-lys,Thymol Blue,6.5,8.33333,7.54333,interpolated
C-lys,Thymol Blue,6.5,16.66667,15.08667,interpolated
C-lys,Thymol Blue,6.5,25.0,22.63,https://www.researchgate.net/publication/363374372_Single_and_Dual_polymeric_sponges_for_emerging_pollutants_removal
C-mA,2.4D,6.5,0.0,0.0,interpolated
C-mA,2.4D,6.5,8.33333,0.0,interpolated
C-mA,2.4D,6.5,16.66667,0.0,interpolated
C-mA,2.4D,6.5,25.0,0.0,https://www.researchgate.net/publication/363374372_Single_and_Dual_polymeric_sponges_for_emerging_pollutants_removal
C-mA,Ampicillin,6.5,0.0,0.0,interpolated
C-mA,Ampicillin,6.5,8.33333,0.0,interpolated
C-mA,Ampicillin,6.5,16.66667,0.0,interpolated
C-mA,Ampicillin,6.5,25.0,0.0,https://www.researchgate.net/publication/363374372_Single_and_Dual_polymeric_sponges_for_emerging_pollutants_removal
C-mA,Doxycycline,6.5,0.0,0.0,interpolated
C-mA,Doxycycline,6.5,8.33333,2.63667,interpolated
C-mA,Doxycycline,6.5,16.66667,5.27333,interpolated
