======================================================================
 TOP 10 DEFINING FEATURES FOR CLUSTERS (Ranked by Scaled Variance)
======================================================================

CLUSTER                                                  0      1      2     3      4      5      6      7      8      9      10     11     12     13     14     15     16
drug_fingerprint_bit_167                              0.000  1.000  0.000  1.00  0.000  0.000  1.000  0.000  0.000  0.000  1.000  1.000  0.000  0.000  0.500  1.000  1.000
drug_fingerprint_bit_11                               0.000  1.000  0.000  0.00  0.000  0.000  0.000  0.000  0.000  0.000  0.000  1.000  0.000  0.000  0.500  0.000  1.000
drug_fingerprint_bit_23                               0.000  1.000  0.000  0.00  0.000  0.000  0.000  0.000  0.000  0.000  0.000  1.000  0.000  0.000  0.500  0.000  1.000
drug_num_hbond_acceptors_sum_fullmolecularfeaturizer  2.000  3.000  4.000  2.00  1.000  2.000  2.000  1.000  2.000  4.000  3.000  3.000  1.000  4.000  2.000  2.000  3.000
drug_lumo_eV                                         -5.997 -7.868 -6.672 -6.04 -6.683 -6.004 -6.093 -6.689 -6.017 -6.536 -6.951 -7.868 -6.676 -6.464 -7.257 -6.078 -7.869
drug_fingerprint_bit_216                              1.000  0.000  0.000  1.00  0.000  1.000  1.000  0.000  1.000  0.000  1.000  0.000  0.000  0.000  0.000  1.000  0.000
drug_fingerprint_bit_175                              0.000  1.000  0.000  1.00  0.000  0.000  1.000  0.000  0.000  0.000  0.000  1.000  0.000  0.000  0.500  1.000  1.000
drug_fingerprint_bit_178                              0.000  1.000  1.000  0.00  0.000  0.000  0.000  0.000  0.000  1.000  0.000  1.000  0.000  1.000  0.500  0.000  1.000
drug_fingerprint_bit_183                              0.000  1.000  1.000  0.00  0.000  0.000  0.000  0.000  0.000  1.000  1.000  1.000  0.000  1.000  0.500  0.000  1.000
drug_fingerprint_bit_188                              0.000  1.000  0.000  0.00  0.000  0.000  0.000  0.000  0.000  0.000  0.000  1.000  0.000  0.000  0.500  0.000  1.000

======================================================================
