,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15
CONCENTRATION,0.9738558477627383,0.19779589199315606,-0.06897018824909582,-0.01511336476047842,-0.08401011544638554,-0.01830593691898555,0.009391736932142371,0.0038506136973305094,-0.0006521807756428135,-8.554296380745727e-05,-2.8246114537679255e-05,2.3362433401460554e-16,-1.0986002390859969e-17,4.142841647031016e-16,-8.048189608438654e-17
CAPACITY,0.09983326586093555,0.03944763881224961,0.3405399636026849,0.15591418826199482,0.9078584084058128,0.09278906027321146,-0.12314122001977251,-0.014638271783712905,0.0022640782783455798,0.0005608594987786969,0.0005681598730895169,4.671541406680763e-16,-6.75188054380613e-17,1.6065897887426144e-16,1.6756406472630492e-16
homo_eV_H,0.00032905675958605496,-0.0003203097121897702,0.0006757746251666585,0.0005825793355201947,0.00027654576480692916,0.0017960194992331993,0.00978054891325604,0.06479929523482951,0.7741282881213024,-0.0016297193752889958,-0.6296219664488153,-6.373582924337771e-15,-9.189169003824292e-15,4.1757840282713354e-14,-7.193244373277475e-14
lumo_eV_H,0.00025759633891875994,-0.0003328895646340785,0.0004899014913160027,-0.00024580354851228003,-0.00042274365144814863,0.0010769657703084065,0.008657090978607118,0.048480226455876074,0.6228562894144968,0.12561826178454014,0.7706120952203863,1.2211691927813946e-14,6.043846336193051e-15,-4.8542886822826396e-14,8.32702190233124e-14
drug_logp,-0.0011710874205068827,0.009370475192885436,0.031170239077262157,0.011041014009673389,0.0057663864956938315,-0.06111073571577039,0.09685525825002339,0.01513716522824364,-0.0024874756900519976,0.0010990691840510967,-0.00013229070041623214,-0.04993439849671967,0.06191244087046332,0.17742936158295652,0.029880822080746546
drug_logd_at_WATER_PH,-0.001361557353089115,0.011228768944082984,0.046136621588575275,-0.020760420151149372,-0.01407235677403873,-0.06978605853982565,-0.05283961653049307,0.00264746129050325,0.0005442213964652054,0.0006664419144640533,-6.230069026067278e-05,-0.13394452711077875,0.02155668752142474,-0.012487057597560526,-0.16954878642454502
drug_homo_eV,-0.0065315230371114944,0.01781973064563396,-0.029877551428458746,-0.10955221950455704,0.026250916760187655,0.09834991641066304,-0.0702790986771235,0.9685105110106937,-0.06465195643739186,-0.1698960088087313,0.01968074974892864,-6.419539878804489e-15,3.620128151896377e-15,3.886316717692483e-15,-7.72984974401127e-15
drug_lumo_eV,-0.0011744142960973534,0.008210796194506185,0.013724349153447248,-0.03278269896601923,-0.0036142725443142317,0.044393009641591485,-0.011573304105933324,0.15861726185576452,-0.08973869799179035,0.9767311448180336,-0.09661365272729827,3.7502876612316344e-14,-2.1740687231875708e-14,-2.557833089534483e-14,4.869326256996807e-14
drug_charge_at_WATER_PH,-0.0016339728632926837,0.011531584869379115,-0.007959327634168874,-0.009346706447635104,-0.014339053978519693,0.11130492722242803,-0.05132454280614372,-0.016579251111632165,0.002050687921131611,-0.0031090688138059597,0.00031311106998405114,0.2332353139943172,-0.2654555264704662,0.2927686871834247,-0.4678031784276034
drug_fingerprint_bit_0,-0.0013935177093246443,0.006160064689159102,-0.010653892417979762,0.00711821064814162,0.005997296044248161,0.01948471517884082,0.03916361817299733,0.0009657889100871814,-0.000601505224861798,-0.0002744766493393558,1.8421063556539607e-05,0.6597528399697729,-0.40716776827143975,-0.17782427907714118,0.516944104722512
drug_fingerprint_bit_1,0.0009651124104769488,-0.0022317639353532396,0.006107041315425556,-0.0003388057248727804,0.01397458579311935,0.004820506698920754,0.12219416758928188,0.00799341415369181,-0.002247545062911494,-0.0003027453966071292,-1.4003345568558423e-05,-0.09287708878147889,-0.18795413520251472,-0.26039330470615546,-0.21498128731806274
drug_fingerprint_bit_2,-0.0006702116376426509,0.0012422245212825244,-0.0013546348030955822,9.503125096000448e-05,0.005742768853099915,-0.03765388834897019,0.009658564209352944,0.004468449903238797,-0.0004944320661421406,0.0010762926203953173,-0.00010801230172401469,-0.2243635481612255,-0.38374309992216943,0.7199175728184031,0.2376376920842011
drug_fingerprint_bit_3,-0.0002782300622256773,0.003031864890844933,0.013517402693441278,0.005901222585631973,-0.014819556721468948,-0.004810624906369711,-0.06692050225930561,-0.0028780349862187185,0.0011167051778650696,-7.333456620620836e-05,3.54981183171416e-05,0.6242341781334582,0.3335907335315278,0.20619020078801636,-0.3729151759123495
drug_fingerprint_bit_7,-0.0002782300622256773,0.003031864890844933,0.013517402693441278,0.005901222585631973,-0.014819556721468948,-0.004810624906369711,-0.06692050225930561,-0.0028780349862187185,0.0011167051778650696,-7.333456620620836e-05,3.54981183171416e-05,-0.048076926567244604,-0.26794189425664583,-0.2308361899430087,-0.008553629641121635
drug_fingerprint_bit_8,-0.0007233060716819933,0.004917840167876577,-0.009299257614884173,0.007023179397181616,0.00025452719114824784,0.05713860352781103,0.029505053963644362,-0.0035026609931516706,-0.00010707315872227605,-0.0013507692696636577,0.00012643336533967964,-0.012510152610654288,0.05336222593581158,-0.03231431594629458,-0.18928166953436343
drug_fingerprint_bit_11,0.0006157660187763891,-0.005624205287431823,-0.006092336493045278,0.01661366031872949,-0.0051237734765513365,-0.02133294204456754,-0.05102313502884678,0.0006147260615500273,0.0005842160491887859,0.0009847523203920345,-6.466205719616531e-05,0.011270106797060917,0.6090351727972377,0.164718392626022,0.42703169052911893
drug_fingerprint_bit_13,-0.0006702116376426508,0.0012422245212825244,-0.0013546348030955822,9.503125096000452e-05,0.005742768853099915,-0.03765388834897018,0.009658564209352944,0.004468449903238793,-0.0004944320661421411,0.0010762926203953128,-0.00010801230172401645,-0.000832974252210141,-0.0017731581987469136,-0.01070076919441917,-0.0027111303812368567
drug_fingerprint_bit_15,-0.00027823006222567706,0.003031864890844933,0.013517402693441276,0.005901222585631972,-0.014819556721468948,-0.004810624906369711,-0.06692050225930561,-0.0028780349862187193,0.0011167051778650681,-7.333456620621025e-05,3.5498118317141625e-05,0.0028192405717787188,-0.0027420643949834017,0.007784460924140231,-0.0013105340579135129
drug_fingerprint_bit_23,0.0006157660187763887,-0.005624205287431823,-0.006092336493045278,0.01661366031872949,-0.005123773476551333,-0.02133294204456754,-0.05102313502884679,0.0006147260615500292,0.0005842160491887835,0.000984752320392034,-6.466205719616592e-05,0.012279413919918498,0.0014683949186105473,0.020626592204491312,-0.0016187909221845353
