,PC1
CONCENTRATION,0.9738558477627383
drug_molecular_weight_sum_fullmolecularfeaturizer,-0.20060836996570944
CAPACITY,0.09983326586093555
drug_topological_surface_area_sum_fullmolecularfeaturizer,-0.028172109468219183
drug_num_atoms_sum_fullmolecularfeaturizer,-0.012759590398923677
drug_slogp_vsa1_sum_fullmolecularfeaturizer,-0.010726546647614042
drug_single_bonds_sum_fullmolecularfeaturizer,-0.008819849297006847
drug_sp2_carbon_count_sum_fullmolecularfeaturizer,-0.006721916245107342
drug_homo_eV,-0.0065315230371114944
drug_sp3_carbon_count_sum_fullmolecularfeaturizer,-0.006037674153816336
drug_heteroatom_count_sum_fullmolecularfeaturizer,-0.004160800115151836
drug_num_rotatable_bonds_sum_fullmolecularfeaturizer,-0.002470268688290021
drug_num_hbond_acceptors_sum_fullmolecularfeaturizer,-0.0024661701727071933
drug_max_estate_index_sum_fullmolecularfeaturizer,-0.002324930505556143
drug_num_rings_sum_fullmolecularfeaturizer,-0.0020842441196653547
