PSMILES,SA_score,diversity,num_hbond_donors_sum_fullmolecularfeaturizer,num_hbond_acceptors_sum_fullmolecularfeaturizer,num_rotatable_bonds_sum_fullmolecularfeaturizer,num_rings_sum_fullmolecularfeaturizer,num_non_aromatic_rings_sum_fullmolecularfeaturizer,num_aromatic_rings_sum_fullmolecularfeaturizer,num_atoms_sum_fullmolecularfeaturizer,topological_surface_area_sum_fullmolecularfeaturizer,fraction_bicyclic_rings_sum_fullmolecularfeaturizer,num_aliphatic_heterocycles_sum_fullmolecularfeaturizer,slogp_vsa1_sum_fullmolecularfeaturizer,balaban_j_index_sum_fullmolecularfeaturizer,molecular_weight_sum_fullmolecularfeaturizer,sp3_carbon_count_sum_fullmolecularfeaturizer,sp2_carbon_count_sum_fullmolecularfeaturizer,max_estate_index_sum_fullmolecularfeaturizer,smr_vsa5_sum_fullmolecularfeaturizer,fp_density_morgan1_sum_fullmolecularfeaturizer,total_halogens_sum_fullmolecularfeaturizer,fluorine_count_sum_fullmolecularfeaturizer,chlorine_count_sum_fullmolecularfeaturizer,bromine_count_sum_fullmolecularfeaturizer,iodine_count_sum_fullmolecularfeaturizer,single_bonds_sum_fullmolecularfeaturizer,double_bonds_sum_fullmolecularfeaturizer,triple_bonds_sum_fullmolecularfeaturizer,bridging_rings_count_sum_fullmolecularfeaturizer,max_ring_size_sum_fullmolecularfeaturizer,heteroatom_count_sum_fullmolecularfeaturizer,heteroatom_density_sum_fullmolecularfeaturizer,num_hbond_donors_sum_fullpolymerfeaturizer,num_hbond_acceptors_sum_fullpolymerfeaturizer,num_rotatable_bonds_sum_fullpolymerfeaturizer,num_rings_sum_fullpolymerfeaturizer,num_non_aromatic_rings_sum_fullpolymerfeaturizer,num_aromatic_rings_sum_fullpolymerfeaturizer,num_atoms_sum_fullpolymerfeaturizer,topological_surface_area_sum_fullpolymerfeaturizer,fraction_bicyclic_rings_sum_fullpolymerfeaturizer,num_aliphatic_heterocycles_sum_fullpolymerfeaturizer,slogp_vsa1_sum_fullpolymerfeaturizer,balaban_j_index_sum_fullpolymerfeaturizer,molecular_weight_sum_fullpolymerfeaturizer,sp3_carbon_count_sum_fullpolymerfeaturizer,sp2_carbon_count_sum_fullpolymerfeaturizer,max_estate_index_sum_fullpolymerfeaturizer,smr_vsa5_sum_fullpolymerfeaturizer,fp_density_morgan1_sum_fullpolymerfeaturizer,total_halogens_sum_fullpolymerfeaturizer,fluorine_count_sum_fullpolymerfeaturizer,chlorine_count_sum_fullpolymerfeaturizer,bromine_count_sum_fullpolymerfeaturizer,iodine_count_sum_fullpolymerfeaturizer,single_bonds_sum_fullpolymerfeaturizer,double_bonds_sum_fullpolymerfeaturizer,triple_bonds_sum_fullpolymerfeaturizer,bridging_rings_count_sum_fullpolymerfeaturizer,max_ring_size_sum_fullpolymerfeaturizer,heteroatom_count_sum_fullpolymerfeaturizer,heteroatom_density_sum_fullpolymerfeaturizer
*/CCC[Fe]CCCC(=O)OCCCCOCCCNCC(*)=O,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,5.0,18.0,0.0,0.0,0.0,24.0,64.63,0.0,0.0,5.316788604006331,3.1496981287080668,355.14459590800004,16.0,5.0,11.545432629116238,56.087150767951,1.0454545454545454,0.0,0.0,0.0,0.0,0.0,21.0,2.0,0.0,0.0,0.0,8.0,0.3333333333333333
C[C@@]1(C(=O)C=C(O1)C(=O)[O-])c2ccccc2,3.4582263714425157,0.8644404170064952,0.0,4.0,2.0,2.0,1.0,1.0,16.0,66.43,0.0,1.0,5.106527394840706,2.377813803871396,217.05063234791,2.0,14.0,11.718846371882087,12.524788010674312,1.3125,0.0,0.0,0.0,0.0,0.0,8.0,3.0,0.0,0.0,6.0,4.0,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
*CCCC1CCCC(*)c2ccc2Ncc1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,3.0,2.0,2.0,0.0,17.0,12.03,0.5,1.0,5.316788604006331,1.9288348916977525,201.151749608,8.0,7.0,3.493521589191232,45.448666937246685,1.4666666666666666,0.0,0.0,0.0,0.0,0.0,15.0,3.0,0.0,1.0,10.0,3.0,0.17647058823529413
c1ccc(cc1)C(c2ccccc2)[S@](=O)CC(=O)NO,2.75965368412456,0.8646074877218685,2.0,3.0,5.0,2.0,0.0,2.0,20.0,66.4,0.0,0.0,5.480096598121202,2.3506948952001725,289.07726434,4.0,16.0,12.452600151171579,5.249938029982174,1.0,0.0,0.0,0.0,0.0,0.0,7.0,2.0,0.0,0.0,6.0,5.0,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
*CCC/*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,2.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,2.19060968716425,42.046950192,3.0,0.0,1.65625,20.268296022307258,1.6666666666666667,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,2.0,0.4
CCC[S@](=O)c1ccc2c(c1)[nH]/c(=N\C(=O)OC)/[nH]2,3.812618487593367,0.8851498794310065,2.0,3.0,3.0,2.0,0.0,2.0,19.0,87.31,0.5,1.0,5.618183454609236,2.4128024698604245,281.08341234000005,5.0,14.0,11.908725837187237,18.24004229813441,1.368421052631579,0.0,0.0,0.0,0.0,0.0,7.0,3.0,0.0,1.0,6.0,7.0,0.3684210526315789,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
*C(=O)CNC(*)C(=O)OCCCCCNC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,5.0,10.0,0.0,0.0,0.0,17.0,67.43,0.0,0.0,10.633577208012662,3.4684905510563984,214.131742436,10.0,5.0,11.518964710884354,25.807221274690605,1.4666666666666666,0.0,0.0,0.0,0.0,0.0,14.0,2.0,0.0,0.0,0.0,7.0,0.4117647058823529
CCC[S@](=O)c1ccc2c(c1)[nH]/c(=N/C(=O)OC)/[nH]2,3.812618487593367,0.8851498794310065,2.0,3.0,3.0,2.0,0.0,2.0,19.0,87.31,0.5,1.0,5.618183454609236,2.4128024698604245,281.08341234000005,5.0,14.0,11.908725837187237,18.24004229813441,1.368421052631579,0.0,0.0,0.0,0.0,0.0,7.0,3.0,0.0,1.0,6.0,7.0,0.3684210526315789,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
*CC(C)(C)CCCCCCC(C)C(=O)N*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,9.0,0.0,0.0,0.0,17.0,29.1,0.0,0.0,5.733667477162185,3.442355690957018,211.19361442,12.0,3.0,11.360340213488211,66.21987853631856,1.4,0.0,0.0,0.0,0.0,0.0,15.0,1.0,0.0,0.0,0.0,4.0,0.23529411764705882
CC(C)C[C@@H]1C(=O)N(C(=S)N1)CC=C,3.205145402973243,0.9229540227101359,1.0,2.0,4.0,1.0,1.0,0.0,14.0,32.34,0.0,1.0,5.316788604006331,2.636438425340596,212.098334132,6.0,8.0,11.76949074074074,26.31013685145522,1.7142857142857142,0.0,0.0,0.0,0.0,0.0,11.0,3.0,0.0,0.0,5.0,4.0,0.2857142857142857,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
