PSMILES,min_logp,max_logp,min_logd_pH_7.0-7.4,max_logd_pH_7.0-7.4,min_humo_lumo_gap,max_humo_lumo_gap,SA_score,diversity,num_hbond_donors_sum_fullmolecularfeaturizer,num_hbond_acceptors_sum_fullmolecularfeaturizer,num_rotatable_bonds_sum_fullmolecularfeaturizer,num_rings_sum_fullmolecularfeaturizer,num_non_aromatic_rings_sum_fullmolecularfeaturizer,num_aromatic_rings_sum_fullmolecularfeaturizer,num_atoms_sum_fullmolecularfeaturizer,topological_surface_area_sum_fullmolecularfeaturizer,fraction_bicyclic_rings_sum_fullmolecularfeaturizer,num_aliphatic_heterocycles_sum_fullmolecularfeaturizer,slogp_vsa1_sum_fullmolecularfeaturizer,balaban_j_index_sum_fullmolecularfeaturizer,molecular_weight_sum_fullmolecularfeaturizer,sp3_carbon_count_sum_fullmolecularfeaturizer,sp2_carbon_count_sum_fullmolecularfeaturizer,max_estate_index_sum_fullmolecularfeaturizer,smr_vsa5_sum_fullmolecularfeaturizer,fp_density_morgan1_sum_fullmolecularfeaturizer,total_halogens_sum_fullmolecularfeaturizer,fluorine_count_sum_fullmolecularfeaturizer,chlorine_count_sum_fullmolecularfeaturizer,bromine_count_sum_fullmolecularfeaturizer,iodine_count_sum_fullmolecularfeaturizer,single_bonds_sum_fullmolecularfeaturizer,double_bonds_sum_fullmolecularfeaturizer,triple_bonds_sum_fullmolecularfeaturizer,bridging_rings_count_sum_fullmolecularfeaturizer,max_ring_size_sum_fullmolecularfeaturizer,heteroatom_count_sum_fullmolecularfeaturizer,heteroatom_density_sum_fullmolecularfeaturizer,num_hbond_donors_sum_fullpolymerfeaturizer,num_hbond_acceptors_sum_fullpolymerfeaturizer,num_rotatable_bonds_sum_fullpolymerfeaturizer,num_rings_sum_fullpolymerfeaturizer,num_non_aromatic_rings_sum_fullpolymerfeaturizer,num_aromatic_rings_sum_fullpolymerfeaturizer,num_atoms_sum_fullpolymerfeaturizer,topological_surface_area_sum_fullpolymerfeaturizer,fraction_bicyclic_rings_sum_fullpolymerfeaturizer,num_aliphatic_heterocycles_sum_fullpolymerfeaturizer,slogp_vsa1_sum_fullpolymerfeaturizer,balaban_j_index_sum_fullpolymerfeaturizer,molecular_weight_sum_fullpolymerfeaturizer,sp3_carbon_count_sum_fullpolymerfeaturizer,sp2_carbon_count_sum_fullpolymerfeaturizer,max_estate_index_sum_fullpolymerfeaturizer,smr_vsa5_sum_fullpolymerfeaturizer,fp_density_morgan1_sum_fullpolymerfeaturizer,total_halogens_sum_fullpolymerfeaturizer,fluorine_count_sum_fullpolymerfeaturizer,chlorine_count_sum_fullpolymerfeaturizer,bromine_count_sum_fullpolymerfeaturizer,iodine_count_sum_fullpolymerfeaturizer,single_bonds_sum_fullpolymerfeaturizer,double_bonds_sum_fullpolymerfeaturizer,triple_bonds_sum_fullpolymerfeaturizer,bridging_rings_count_sum_fullpolymerfeaturizer,max_ring_size_sum_fullpolymerfeaturizer,heteroatom_count_sum_fullpolymerfeaturizer,heteroatom_density_sum_fullpolymerfeaturizer,num_hbond_donors_sidechainfeaturizer_sum,num_hbond_acceptors_sidechainfeaturizer_sum,num_atoms_sum_backbonefeaturizer,sp2_carbon_count_sum_backbonefeaturizer,sp3_carbon_count_sum_backbonefeaturizer
CCOc1cc(oc1)/C=C\2/N(C(=O)N(C2=O)C)CC(=O)N,0.39849999999999997,0.39849999999999997,-2.435699999999997,0.39849999999999997,-39.39107170339287,-39.39107170339287,3.1337950374362187,0.8846475659333306,1.0,5.0,5.0,2.0,1.0,1.0,21.0,106.08,0.0,2.0,10.470530430962235,2.3209600303057867,293.10117058000003,4.0,17.0,12.014604985512722,6.923737199690624,1.4761904761904763,0.0,0.0,0.0,0.0,0.0,13.0,4.0,0.0,0.0,5.0,8.0,0.38095238095238093,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CNc1cc(cc(c1)S(=O)(=O)N2CC[NH+](CC2)C#N)[N+](=O)[O-],-0.9932199999999989,-0.9932199999999989,-2.410319999999997,0.4238799999999998,-52.730865892144344,-52.730865892144344,3.6796087418021415,0.929263040419997,2.0,6.0,4.0,2.0,1.0,1.0,22.0,120.78,0.0,1.0,10.216698334856808,2.3541853346472013,326.09175141209,8.0,12.0,12.608576625094482,4.895483475517775,1.3636363636363635,0.0,0.0,0.0,0.0,0.0,13.0,3.0,1.0,0.0,6.0,10.0,0.45454545454545453,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
*CCCCCCCCCCCCCC[Si](C)(CCCCCCCCCCCCCCc1ccc(*)cc1)C,11.997799999999982,14.018319999999973,11.36579999999999,14.018319999999973,-37.421017835999166,-37.225139528576555,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,29.0,1.0,0.0,1.0,39.0,0.0,0.0,0.0,6.06636706846161,1.7710817018413816,526.493378642,31.0,6.0,2.668449939513297,192.62649203403606,0.4594594594594595,0.0,0.0,0.0,0.0,0.0,33.0,0.0,0.0,0.0,6.0,3.0,0.07692307692307693,0.0,0.0,39.0,6.0,31.0
*Oc1ccccc1C(=O)NCCCSCCSCSc1cc(*)s1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c1cc2c(cc1C(=O)[C@H]2c3ccccc3C(=O)[O-])Br,2.1408000000000005,2.1408000000000005,2.1408000000000005,2.1408000000000005,,,3.947122808351798,0.8954415292933984,0.0,3.0,2.0,4.0,2.0,2.0,19.0,57.2,0.75,0.0,5.106527394840706,2.225091373325034,314.96622979591,2.0,17.0,12.3199111866969,5.917906046161393,1.105263157894737,1.0,0.0,0.0,1.0,0.0,7.0,2.0,0.0,2.0,6.0,4.0,0.21052631578947367,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
*Oc1ccccc1C(=O)Nc1ccc(C(=O)Nc2ccc(-c3ccc(C(*)=O)cc3)cc2)cc1,5.376300000000004,6.069400000000005,4.073500000000002,6.069400000000005,-38.56042167012794,-37.447161304889384,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,4.0,7.0,4.0,0.0,4.0,35.0,84.5,0.0,0.0,15.740104602853368,1.3812653806715,434.126657056,0.0,33.0,12.674742136242582,0.0,0.6363636363636364,0.0,0.0,0.0,0.0,0.0,11.0,3.0,0.0,0.0,6.0,8.0,0.22857142857142856,0.0,0.0,35.0,33.0,0.0
CCN(CC)OC(=O)COc1ccccc1OC,1.8739999999999999,1.8739999999999999,0.45690000000000075,1.8739999999999999,-37.78727900062429,-37.78727900062429,2.261864349068837,0.8762663679182778,0.0,5.0,7.0,1.0,0.0,1.0,18.0,48.0,0.0,0.0,9.473725907600098,2.4680056775776946,253.131408088,7.0,11.0,11.514491685563113,13.847474399381248,1.1666666666666667,0.0,0.0,0.0,0.0,0.0,11.0,1.0,0.0,0.0,6.0,5.0,0.2777777777777778,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
*CCCSc1ccc(*)s1,1.9282,3.9487200000000025,1.2961999999999998,3.9487200000000025,-38.6714973599338,-38.39362859934965,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,2.0,4.0,1.0,0.0,1.0,11.0,0.0,0.0,1.0,5.380062770465915,2.2713997520148643,156.006742256,4.0,5.0,2.320134637188209,17.553738000138715,1.7777777777777777,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,5.0,4.0,0.36363636363636365,0.0,0.0,11.0,5.0,4.0
CCOC(=O)c1c([nH]c(n1C)SCC(=O)Nc2cc(cc2)Cl)C(=O)Nc3cccc4c(c3)OC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c1ccc2c(c1)c(=O)[nH]c2Sc3on2CO3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
