PSMILES,num_hbond_donors_sum_fullpolymerfeaturizer,num_hbond_acceptors_sum_fullpolymerfeaturizer,num_rotatable_bonds_sum_fullpolymerfeaturizer,num_rings_sum_fullpolymerfeaturizer,num_non_aromatic_rings_sum_fullpolymerfeaturizer,num_aromatic_rings_sum_fullpolymerfeaturizer,num_atoms_sum_fullpolymerfeaturizer,topological_surface_area_sum_fullpolymerfeaturizer,fraction_bicyclic_rings_sum_fullpolymerfeaturizer,num_aliphatic_heterocycles_sum_fullpolymerfeaturizer,slogp_vsa1_sum_fullpolymerfeaturizer,balaban_j_index_sum_fullpolymerfeaturizer,molecular_weight_sum_fullpolymerfeaturizer,sp3_carbon_count_sum_fullpolymerfeaturizer,sp2_carbon_count_sum_fullpolymerfeaturizer,max_estate_index_sum_fullpolymerfeaturizer,smr_vsa5_sum_fullpolymerfeaturizer,fp_density_morgan1_sum_fullpolymerfeaturizer,total_halogens_sum_fullpolymerfeaturizer,fluorine_count_sum_fullpolymerfeaturizer,chlorine_count_sum_fullpolymerfeaturizer,bromine_count_sum_fullpolymerfeaturizer,iodine_count_sum_fullpolymerfeaturizer,single_bonds_sum_fullpolymerfeaturizer,double_bonds_sum_fullpolymerfeaturizer,triple_bonds_sum_fullpolymerfeaturizer,bridging_rings_count_sum_fullpolymerfeaturizer,max_ring_size_sum_fullpolymerfeaturizer,heteroatom_count_sum_fullpolymerfeaturizer,heteroatom_density_sum_fullpolymerfeaturizer
*/CCC[Fe]CCCC(=O)OCCCCOCCCNCC(*)=O,1.0,5.0,18.0,0.0,0.0,0.0,24.0,64.63,0.0,0.0,5.316788604006331,3.1496981287080668,355.14459590800004,16.0,5.0,11.545432629116238,56.087150767951,1.0454545454545454,0.0,0.0,0.0,0.0,0.0,21.0,2.0,0.0,0.0,0.0,8.0,0.3333333333333333
*CCCC1CCCC(*)c2ccc2Ncc1,1.0,1.0,3.0,2.0,2.0,0.0,17.0,12.03,0.5,1.0,5.316788604006331,1.9288348916977525,201.151749608,8.0,7.0,3.493521589191232,45.448666937246685,1.4666666666666666,0.0,0.0,0.0,0.0,0.0,15.0,3.0,0.0,1.0,10.0,3.0,0.17647058823529413
*CCC/*,0.0,0.0,2.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,2.19060968716425,42.046950192,3.0,0.0,1.65625,20.268296022307258,1.6666666666666667,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,2.0,0.4
*C(=O)CNC(*)C(=O)OCCCCCNC,2.0,5.0,10.0,0.0,0.0,0.0,17.0,67.43,0.0,0.0,10.633577208012662,3.4684905510563984,214.131742436,10.0,5.0,11.518964710884354,25.807221274690605,1.4666666666666666,0.0,0.0,0.0,0.0,0.0,14.0,2.0,0.0,0.0,0.0,7.0,0.4117647058823529
*CC(C)(C)CCCCCCC(C)C(=O)N*,1.0,1.0,9.0,0.0,0.0,0.0,17.0,29.1,0.0,0.0,5.733667477162185,3.442355690957018,211.19361442,12.0,3.0,11.360340213488211,66.21987853631856,1.4,0.0,0.0,0.0,0.0,0.0,15.0,1.0,0.0,0.0,0.0,4.0,0.23529411764705882
*Oc1ccc(CCCNC(=O)NCCCC(=O)C(C)C(*)=O)cc1,2.0,4.0,11.0,1.0,0.0,1.0,25.0,84.5,0.0,0.0,15.740104602853368,2.0837988449597633,318.157957184,8.0,15.0,11.701535092056703,32.60702369139466,1.173913043478261,0.0,0.0,0.0,0.0,0.0,16.0,3.0,0.0,0.0,6.0,8.0,0.32
*CCCCC*,0.0,0.0,4.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,2.447472887876344,70.07825032,5.0,0.0,1.6388888888888888,33.10993926815928,1.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,2.0,0.2857142857142857
*CC(*)C(C)(C)CCC,0.0,0.0,4.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,3.8231802758378657,112.12520051199999,8.0,0.0,2.48212962962963,46.95741366754052,1.75,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,2.0,0.2
*CC(*)(C)CC=O,0.0,1.0,3.0,0.0,0.0,0.0,8.0,17.07,0.0,0.0,0.0,3.5256248299571906,84.057514876,4.0,2.0,10.047152777777779,26.18620206846865,2.3333333333333335,0.0,0.0,0.0,0.0,0.0,6.0,1.0,0.0,0.0,0.0,3.0,0.375
*Oc1ccc(*)cc1O,1.0,2.0,1.0,1.0,0.0,1.0,10.0,29.46,0.0,0.0,11.172894463302317,3.0699827149988397,108.021129368,0.0,8.0,9.246342592592592,0.0,1.75,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,6.0,4.0,0.4
*CC(*)COCCCCC(C)=O,0.0,2.0,8.0,0.0,0.0,0.0,13.0,26.3,0.0,0.0,0.0,3.035493331772603,156.115029752,9.0,2.0,10.608439473802479,39.53076089108528,1.7272727272727273,0.0,0.0,0.0,0.0,0.0,11.0,1.0,0.0,0.0,0.0,4.0,0.3076923076923077
*O*,0.0,1.0,0.0,0.0,0.0,0.0,3.0,9.23,0.0,0.0,0.0,1.6329931618554523,15.99491462,1.0,0.0,4.75,0.0,4.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,3.0,1.0
*C(=O)O*,0.0,2.0,0.0,0.0,0.0,0.0,5.0,26.3,0.0,0.0,0.0,2.8473789230876716,43.98982924,0.0,3.0,9.76388888888889,0.0,3.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,4.0,0.8
*Cc1ccc(C(=O)OCCCCCOC(=O)OCCCCCCC(=O)C(*)=O)cc1,0.0,7.0,16.0,1.0,0.0,1.0,31.0,95.97,0.0,0.0,0.0,1.930484532162762,404.183503236,12.0,17.0,11.94413155721221,58.29031018309871,0.7586206896551724,0.0,0.0,0.0,0.0,0.0,21.0,4.0,0.0,0.0,6.0,9.0,0.2903225806451613
