PSMILES,_homo_eV,_lumo_eV,_homo_eV_H,_lumo_eV_H,_homo_eV_C,_lumo_eV_C,_homo_eV_O,_lumo_eV_O
CCOc1cc(oc1)/C=C\2/N(C(=O)N(C2=O)C)CC(=O)N,-8.183378749472904,-6.499165107308907,,,,,,
CNc1cc(cc(c1)S(=O)(=O)N2CC[NH+](CC2)C#N)[N+](=O)[O-],-6.637266820810842,-5.379051560650501,,,,,,
*CCCCCCCCCCCCCC[Si](C)(CCCCCCCCCCCCCCc1ccc(*)cc1)C,,,-10.181048580528886,-5.962826859771473,-10.188132458066377,-5.877463023291668,-10.112432650515162,-6.058883186021131
*Oc1ccccc1C(=O)NCCCSCCSCSc1cc(*)s1,,,,,,,,
c1cc2c(cc1C(=O)[C@H]2c3ccccc3C(=O)[O-])Br,,,,,,,,
*Oc1ccccc1C(=O)Nc1ccc(C(=O)Nc2ccc(-c3ccc(C(*)=O)cc3)cc2)cc1,,,-7.921450368614526,-7.552730921775526,-10.310107734874022,-7.621947711885168,-10.433129823675987,-7.6839344787768455
CCN(CC)OC(=O)COc1ccccc1OC,-10.016048414958874,-7.085016600884298,,,,,,
*CCCSc1ccc(*)s1,,,-9.850598227051705,-6.979403886599907,-9.73672836462726,-6.83333132406912,-9.836143422314073,-6.807973215118251
CCOC(=O)c1c([nH]c(n1C)SCC(=O)Nc2cc(cc2)Cl)C(=O)Nc3cccc4c(c3)OC,,,,,,,,
c1ccc2c(c1)c(=O)[nH]c2Sc3on2CO3,,,,,,,,
