PSMILES,PSMILES_homo_lumo_gap,PSMILES_homo_lumo_gap_H,PSMILES_homo_lumo_gap_C,PSMILES_homo_lumo_gap_O
CCOc1cc(oc1)/C=C\2/N(C(=O)N(C2=O)C)CC(=O)N,-39.3525780337781,,,
CNc1cc(cc(c1)S(=O)(=O)N2CC[NH+](CC2)C#N)[N+](=O)[O-],-52.715331596859,,,
*CCCCCCCCCCCCCC[Si](C)(CCCCCCCCCCCCCCc1ccc(*)cc1)C,,-37.37379242991109,-37.18082711019097,-37.43650887094474
*Oc1ccccc1C(=O)NCCCSCCSCSc1cc(*)s1,,,,
c1cc2c(cc1C(=O)[C@H]2c3ccccc3C(=O)[O-])Br,,,,
*Oc1ccccc1C(=O)Nc1ccc(C(=O)Nc2ccc(-c3ccc(C(*)=O)cc3)cc2)cc1,,-37.43184207806135,-38.3157901604608,-38.6099696184142
CCN(CC)OC(=O)COc1ccccc1OC,-37.69256457548457,,,
*CCCSc1ccc(*)s1,,-38.407659356081396,-38.44525588177106,-38.67804735479541
CCOC(=O)c1c([nH]c(n1C)SCC(=O)Nc2cc(cc2)Cl)C(=O)Nc3cccc4c(c3)OC,,,,
c1ccc2c(c1)c(=O)[nH]c2Sc3on2CO3,,,,
