PSMILES,min_logd_pH_7.0,max_logd_pH_7.0,min_logd_pH_7.0_H,max_logd_pH_7.0_H,min_logd_pH_7.0_C,max_logd_pH_7.0_C,min_logd_pH_7.0_O,max_logd_pH_7.0_O
CCOc1cc(oc1)/C=C\2/N(C(=O)N(C2=O)C)CC(=O)N,-2.435699999999997,0.39849999999999997,,,,,,
CNc1cc(cc(c1)S(=O)(=O)N2CC[NH+](CC2)C#N)[N+](=O)[O-],-2.410319999999997,0.4238799999999998,,,,,,
*CCCCCCCCCCCCCC[Si](C)(CCCCCCCCCCCCCCc1ccc(*)cc1)C,,,13.319799999999976,13.319799999999976,14.018319999999973,14.018319999999973,11.36579999999999,11.997799999999982
*Oc1ccccc1C(=O)NCCCSCCSCSc1cc(*)s1,,,,,,,,
c1cc2c(cc1C(=O)[C@H]2c3ccccc3C(=O)[O-])Br,2.1408000000000005,2.1408000000000005,,,,,,
*Oc1ccccc1C(=O)Nc1ccc(C(=O)Nc2ccc(-c3ccc(C(*)=O)cc3)cc2)cc1,,,4.744300000000003,5.376300000000004,6.069400000000005,6.069400000000005,4.073500000000002,4.073500000000002
CCN(CC)OC(=O)COc1ccccc1OC,0.45690000000000075,1.8739999999999999,,,,,,
*CCCSc1ccc(*)s1,,,3.250200000000002,3.250200000000002,3.9487200000000025,3.9487200000000025,1.2961999999999998,1.9282
CCOC(=O)c1c([nH]c(n1C)SCC(=O)Nc2cc(cc2)Cl)C(=O)Nc3cccc4c(c3)OC,,,,,,,,
c1ccc2c(c1)c(=O)[nH]c2Sc3on2CO3,,,,,,,,
Cc1ccc2c(c1)c3n(n2c(n3)Cc4cc(c(c(c4)OC)C)OC)C=C1=O,,,,,,,,
*C1=CC(C[N+](C)(C)[Si](c2ccc(*)s2)cc1)OCCCCCC,,,3.6537000000000024,3.6537000000000024,4.3522200000000035,4.3522200000000035,2.6130000000000004,3.245000000000002
*/C=C/c1ccc(C(=O)NCCCCCCCCCCNC(=O)c2ccc(C(*)=O)cc2)cc1,,,5.422700000000006,5.422700000000006,6.202900000000007,6.202900000000007,3.859400000000001,3.859400000000001
*c1cc(/C=C/c2ccc(/N=C(/*)CCCCC)cc2)cc1,,,,,,,,
c1cc2ccccc2n1c3ncnc2=O,,,,,,,,
CC1=C2[C@@H](N([C@H]1CC)C(=O)N)C(=S)NC[C@@H]1c3cccsc3,,,,,,,,
