PSMILES,num_hbond_donors_sum_fullpolymerfeaturizer,num_hbond_acceptors_sum_fullpolymerfeaturizer,num_rotatable_bonds_sum_fullpolymerfeaturizer,num_rings_sum_fullpolymerfeaturizer,num_non_aromatic_rings_sum_fullpolymerfeaturizer,num_aromatic_rings_sum_fullpolymerfeaturizer,num_atoms_sum_fullpolymerfeaturizer,topological_surface_area_sum_fullpolymerfeaturizer,fraction_bicyclic_rings_sum_fullpolymerfeaturizer,num_aliphatic_heterocycles_sum_fullpolymerfeaturizer,slogp_vsa1_sum_fullpolymerfeaturizer,balaban_j_index_sum_fullpolymerfeaturizer,molecular_weight_sum_fullpolymerfeaturizer,sp3_carbon_count_sum_fullpolymerfeaturizer,sp2_carbon_count_sum_fullpolymerfeaturizer,max_estate_index_sum_fullpolymerfeaturizer,smr_vsa5_sum_fullpolymerfeaturizer,fp_density_morgan1_sum_fullpolymerfeaturizer,total_halogens_sum_fullpolymerfeaturizer,fluorine_count_sum_fullpolymerfeaturizer,chlorine_count_sum_fullpolymerfeaturizer,bromine_count_sum_fullpolymerfeaturizer,iodine_count_sum_fullpolymerfeaturizer,single_bonds_sum_fullpolymerfeaturizer,double_bonds_sum_fullpolymerfeaturizer,triple_bonds_sum_fullpolymerfeaturizer,bridging_rings_count_sum_fullpolymerfeaturizer,max_ring_size_sum_fullpolymerfeaturizer,heteroatom_count_sum_fullpolymerfeaturizer,heteroatom_density_sum_fullpolymerfeaturizer,num_hbond_donors_sidechainfeaturizer_sum,num_hbond_acceptors_sidechainfeaturizer_sum,num_atoms_sum_backbonefeaturizer,sp2_carbon_count_sum_backbonefeaturizer,sp3_carbon_count_sum_backbonefeaturizer
CCOc1cc(oc1)/C=C\2/N(C(=O)N(C2=O)C)CC(=O)N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CNc1cc(cc(c1)S(=O)(=O)N2CC[NH+](CC2)C#N)[N+](=O)[O-],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
*CCCCCCCCCCCCCC[Si](C)(CCCCCCCCCCCCCCc1ccc(*)cc1)C,0.0,0.0,29.0,1.0,0.0,1.0,39.0,0.0,0.0,0.0,6.06636706846161,1.7710817018413816,526.493378642,31.0,6.0,2.668449939513297,192.62649203403606,0.4594594594594595,0.0,0.0,0.0,0.0,0.0,33.0,0.0,0.0,0.0,6.0,3.0,0.07692307692307693,0.0,0.0,39.0,6.0,31.0
*Oc1ccccc1C(=O)NCCCSCCSCSc1cc(*)s1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c1cc2c(cc1C(=O)[C@H]2c3ccccc3C(=O)[O-])Br,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
*Oc1ccccc1C(=O)Nc1ccc(C(=O)Nc2ccc(-c3ccc(C(*)=O)cc3)cc2)cc1,2.0,4.0,7.0,4.0,0.0,4.0,35.0,84.5,0.0,0.0,15.740104602853368,1.3812653806715,434.126657056,0.0,33.0,12.674742136242582,0.0,0.6363636363636364,0.0,0.0,0.0,0.0,0.0,11.0,3.0,0.0,0.0,6.0,8.0,0.22857142857142856,0.0,0.0,35.0,33.0,0.0
CCN(CC)OC(=O)COc1ccccc1OC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
*CCCSc1ccc(*)s1,0.0,2.0,4.0,1.0,0.0,1.0,11.0,0.0,0.0,1.0,5.380062770465915,2.2713997520148643,156.006742256,4.0,5.0,2.320134637188209,17.553738000138715,1.7777777777777777,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,5.0,4.0,0.36363636363636365,0.0,0.0,11.0,5.0,4.0
CCOC(=O)c1c([nH]c(n1C)SCC(=O)Nc2cc(cc2)Cl)C(=O)Nc3cccc4c(c3)OC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c1ccc2c(c1)c(=O)[nH]c2Sc3on2CO3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
