PSMILES,num_hbond_donors_sum_fullmolecularfeaturizer,num_hbond_acceptors_sum_fullmolecularfeaturizer,num_rotatable_bonds_sum_fullmolecularfeaturizer,num_rings_sum_fullmolecularfeaturizer,num_non_aromatic_rings_sum_fullmolecularfeaturizer,num_aromatic_rings_sum_fullmolecularfeaturizer,num_atoms_sum_fullmolecularfeaturizer,topological_surface_area_sum_fullmolecularfeaturizer,fraction_bicyclic_rings_sum_fullmolecularfeaturizer,num_aliphatic_heterocycles_sum_fullmolecularfeaturizer,slogp_vsa1_sum_fullmolecularfeaturizer,balaban_j_index_sum_fullmolecularfeaturizer,molecular_weight_sum_fullmolecularfeaturizer,sp3_carbon_count_sum_fullmolecularfeaturizer,sp2_carbon_count_sum_fullmolecularfeaturizer,max_estate_index_sum_fullmolecularfeaturizer,smr_vsa5_sum_fullmolecularfeaturizer,fp_density_morgan1_sum_fullmolecularfeaturizer,total_halogens_sum_fullmolecularfeaturizer,fluorine_count_sum_fullmolecularfeaturizer,chlorine_count_sum_fullmolecularfeaturizer,bromine_count_sum_fullmolecularfeaturizer,iodine_count_sum_fullmolecularfeaturizer,single_bonds_sum_fullmolecularfeaturizer,double_bonds_sum_fullmolecularfeaturizer,triple_bonds_sum_fullmolecularfeaturizer,bridging_rings_count_sum_fullmolecularfeaturizer,max_ring_size_sum_fullmolecularfeaturizer,heteroatom_count_sum_fullmolecularfeaturizer,heteroatom_density_sum_fullmolecularfeaturizer
CCOc1cc(oc1)/C=C\2/N(C(=O)N(C2=O)C)CC(=O)N,1.0,5.0,5.0,2.0,1.0,1.0,21.0,106.08,0.0,2.0,10.470530430962235,2.3209600303057867,293.10117058000003,4.0,17.0,12.014604985512722,6.923737199690624,1.4761904761904763,0.0,0.0,0.0,0.0,0.0,13.0,4.0,0.0,0.0,5.0,8.0,0.38095238095238093
CNc1cc(cc(c1)S(=O)(=O)N2CC[NH+](CC2)C#N)[N+](=O)[O-],2.0,6.0,4.0,2.0,1.0,1.0,22.0,120.78,0.0,1.0,10.216698334856808,2.3541853346472013,326.09175141209,8.0,12.0,12.608576625094482,4.895483475517775,1.3636363636363635,0.0,0.0,0.0,0.0,0.0,13.0,3.0,1.0,0.0,6.0,10.0,0.45454545454545453
*CCCCCCCCCCCCCC[Si](C)(CCCCCCCCCCCCCCc1ccc(*)cc1)C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
*Oc1ccccc1C(=O)NCCCSCCSCSc1cc(*)s1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c1cc2c(cc1C(=O)[C@H]2c3ccccc3C(=O)[O-])Br,0.0,3.0,2.0,4.0,2.0,2.0,19.0,57.2,0.75,0.0,5.106527394840706,2.225091373325034,314.96622979591,2.0,17.0,12.3199111866969,5.917906046161393,1.105263157894737,1.0,0.0,0.0,1.0,0.0,7.0,2.0,0.0,2.0,6.0,4.0,0.21052631578947367
*Oc1ccccc1C(=O)Nc1ccc(C(=O)Nc2ccc(-c3ccc(C(*)=O)cc3)cc2)cc1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCN(CC)OC(=O)COc1ccccc1OC,0.0,5.0,7.0,1.0,0.0,1.0,18.0,48.0,0.0,0.0,9.473725907600098,2.4680056775776946,253.131408088,7.0,11.0,11.514491685563113,13.847474399381248,1.1666666666666667,0.0,0.0,0.0,0.0,0.0,11.0,1.0,0.0,0.0,6.0,5.0,0.2777777777777778
*CCCSc1ccc(*)s1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCOC(=O)c1c([nH]c(n1C)SCC(=O)Nc2cc(cc2)Cl)C(=O)Nc3cccc4c(c3)OC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c1ccc2c(c1)c(=O)[nH]c2Sc3on2CO3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cc1ccc2c(c1)c3n(n2c(n3)Cc4cc(c(c(c4)OC)C)OC)C=C1=O,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
*C1=CC(C[N+](C)(C)[Si](c2ccc(*)s2)cc1)OCCCCCC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
*/C=C/c1ccc(C(=O)NCCCCCCCCCCNC(=O)c2ccc(C(*)=O)cc2)cc1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
*c1cc(/C=C/c2ccc(/N=C(/*)CCCCC)cc2)cc1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c1cc2ccccc2n1c3ncnc2=O,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CC1=C2[C@@H](N([C@H]1CC)C(=O)N)C(=S)NC[C@@H]1c3cccsc3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
